"","WRU","2030"
"1","1A",185858.632515368
"2","1Ba",1037849.60106635
"3","1Bb",251754.060201317
"4","1C",385217.040542603
"5","1E2",239192.768993378
"6","1F",265943.902348719
"7","1G",160316.332804793
"8","1H",284050.832797752
"9","1K",185945.575357093
"10","1L",66141.875632022
"11","1M",74013.1870433859
"12","1N",25305.7388821431
"13","1O",122421.743026994
"14","1P",83313.6259749064
"15","1R",450599.266419933
"16","1S",209863.659618378
"17","1T",146415.138070107
"18","2A",218792.364682791
"19","2B",915026.559773102
"20","2C",251781.205513895
"21","2D",128390.563748818
"22","3A",258048.877294295
"23","3B",31886.6773099229
"24","3C",67434.1234000599
"25","3D",182768.016354322
"26","3E",198412.178032438
"27","3F",137797.171113321
"28","4A",101194.594543047
"29","4B",871270.779190388
"30","4C",686103.03997708
"31","4D",1208338.75912454
"32","4E",819133.293338776
"33","4F",171807.624810874
"34","5C",122152.005715823
"35","5D",612452.139774323
"36","5E",843943.935528961
"37","5F",239053.45283409
"38","6A",34580.2492711172
"39","6B",35793.2483650426
"40","6C",296318.781795502
"41","6D",320740.776806393
"42","7A",326980.788177103
"43","7B",107867.856283665
"44","7C",65240.1480194811
"45","7D",476189.951335311
"46","7E",90567.9853777681
"47","7F",108140.762825531
"48","7G",65603.0896699699
"49","7H",19267.2782817661
"50","8A",58312.3194937922
"51","9A",103104.414556049
"52","9B",196218.397398561
"53","10A",244243.930271177
"54","11A",460875.812713491
"55","14A",501231.711065292
"56","14B",634394.769883075
"57","14C",369482.242675666
"58","14D",53048.3879547119
"59","15A",342295.396445716
"60","15B",340999.177121418
"61","15C",26512.0412738402
"62","16E",112539.570718695
"63","16F",149334.729781394
"64","16G",84980.7344810603
"65","17A",96881.5851056576
"66","17B",19598.1908684203
"67","17C",101836.412476867
