"","WRU","2070"
"1","1A",172251.454861707
"2","1Ba",2728337.53528124
"3","1Bb",240163.791885609
"4","1C",645674.132060051
"5","1E2",417022.388403893
"6","1F",236701.449853395
"7","1G",241833.29344587
"8","1H",372947.568754879
"9","1K",137384.388027184
"10","1L",80853.6670741511
"11","1M",59451.0339229136
"12","1N",17496.1147671416
"13","1O",88957.3044889948
"14","1P",62270.3718818335
"15","1R",680624.381101659
"16","1S",158218.687308431
"17","1T",194117.059808731
"18","2A",174921.546635743
"19","2B",1242073.79098209
"20","2C",348252.748249501
"21","2D",143087.034421623
"22","3A",497375.36846707
"23","3B",22046.1045838986
"24","3C",46623.2251636754
"25","3D",135854.720603615
"26","3E",137180.038373656
"27","3F",158578.110708431
"28","4A",69964.8504396944
"29","4B",1090338.19232187
"30","4C",1048005.5711634
"31","4D",2689398.44607906
"32","4E",1916869.8021698
"33","4F",193787.483475983
"34","5C",108549.807190257
"35","5D",673584.497235298
"36","5E",820745.641907878
"37","5F",219439.45974808
"38","6A",31802.4977830899
"39","6B",27870.6875443419
"40","6C",520082.973664284
"41","6D",288344.02274598
"42","7A",399644.581963673
"43","7B",74578.6717395782
"44","7C",45106.3340627263
"45","7D",955498.569268882
"46","7E",62617.727542795
"47","7F",217575.62327711
"48","7G",45357.2681609602
"49","7H",13321.1883147063
"50","8A",54656.903625324
"51","9A",72350.4301567265
"52","9B",281454.866663456
"53","10A",292124.298027355
"54","11A",371745.108626865
"55","14A",955264.34251976
"56","14B",615006.76527739
"57","14C",381008.614192718
"58","14D",36677.0830459595
"59","15A",260044.946599532
"60","15B",421812.113006862
"61","15C",18330.1391549267
"62","16E",89699.7872351382
"63","16F",168064.312252954
"64","16G",107991.728961751
"65","17A",229058.176863194
"66","17B",13549.9776506917
"67","17C",80021.2296771852
