"","2020","2030","2040","2050","2060","2070"
"1A",162613.469115465,246772.123136897,297071.336325386,341554.105791389,374719.485360173,334621.224789158
"1Ba",690427.313384473,1432162.31196215,2048972.01898762,2794799.3331739,3623086.97686508,7330464.92908411
"1Bb",219424.610226389,367653.637589697,446033.898335959,517472.95655763,573620.211792733,568968.705372037
"1C",301477.032797813,565191.685812762,748590.655523161,952834.966994556,1162254.2433449,2023719.05740388
"1E2",185212.170488834,395782.747991013,534266.238599445,692385.058610215,858712.949864021,1562809.8630762
"1F",233886.409988927,412797.855122175,506923.184765258,596321.533149553,671341.27401743,901473.448125501
"1G",128777.333458028,234911.540484674,301597.042027721,372166.474515814,440536.427517238,703004.05252567
"1H",235011.320552642,419445.652307015,529232.267600935,641302.738344704,745212.942943793,1120820.09172954
"1K",166994.892919198,250614.519244466,298068.95644119,337798.751145721,364380.696597337,406979.678939624
"1L",55460.6043262465,96077.5537415143,121634.019658239,147918.491795065,172520.240930604,262654.482116104
"1M",65882.8509324614,91558.6291079259,109312.034636138,124452.049573407,134978.617596304,154615.793575058
"1N",22874.6343311071,33726.6527652042,39773.6628036206,44611.1769653682,47524.6395895304,49857.8034333286
"1O",110129.035738631,165843.844556477,195692.292949234,219650.172678243,234198.691060044,246754.691319284
"1P",74734.644235061,114068.502757735,134934.910759067,151918.307811235,162583.292156674,174034.330052428
"1R",361841.308522748,523517.829560716,647480.40735941,767748.307897925,871874.395462562,633888.034796572
"1S",188085.74395588,295100.26016248,354212.862685101,405850.245748449,443480.867864555,407135.33719955
"1T",120905.952897072,214871.212475452,276259.442511145,341396.497789175,404700.30286192,205273.164245343
"2A",194859.480248431,325991.161253215,390069.675218407,445278.26102948,484456.693285399,563432.579061032
"2B",752041.695034191,1208504.28943489,1503629.83517044,1794718.79669434,2052634.0062733,2920308.6933951
"2C",206135.504049823,334288.796217031,420746.136529447,508502.544227351,589281.133548737,876565.241382222
"2D",109364.35183626,168505.935707538,205599.16754194,240096.912103893,268119.191990546,214943.872093537
"3A",193963.823070399,282078.855656085,363697.812674269,450754.015446862,535873.054821604,264228.381678672
"3B",28823.3465655409,43955.1353122878,51836.0579366092,58140.6737484448,61937.7194071818,64935.7004723022
"3C",60955.7742610543,86935.7587322356,102522.87920417,114992.333648766,122502.241901694,128516.339361629
"3D",164040.396507204,239566.458347224,284567.655604401,322003.747378228,346706.873031248,342837.862048782
"3E",179350.858505452,276943.760813457,330584.013139002,376289.446488972,408013.039858377,386435.938693528
"3F",116760.069398488,163138.981754685,198619.144250607,231370.231677215,257655.284974826,210680.989488439
"4A",91472.9002402404,141505.715763764,169266.170837715,193149.005679888,210048.5814765,196474.074202369
"4B",727455.567486561,1115759.414364,1375965.722129,1626297.75925677,1840407.05396251,1349511.44730372
"4C",549520.192271693,814801.142140507,1039821.27466362,1275165.91847719,1500017.39989408,1520837.52416138
"4D",863856.233875598,1369111.2992162,1866167.78859865,2440169.66467542,3050779.6312846,3640432.41224171
"4E",574061.990409851,858473.752367895,1175234.14333272,1542792.26749998,1935626.16237192,2312560.12574911
"4F",146062.413778067,218891.46010141,273223.769551854,327264.544050573,375696.767641129,391498.647630846
"5C",107448.550344497,155395.835558709,183802.337588689,212367.211962363,231128.153958704,268366.026753083
"5D",522798.230223179,775149.850296048,937053.892902666,1108926.81038096,1241314.19713514,991176.380926831
"5E",733638.719857773,1140710.69247703,1204900.83911579,1624760.27960017,1813997.32462301,1465075.79386974
"5F",209415.485254114,335156.197492767,351184.615806627,472471.586662133,524234.012418178,439069.106314413
"6A",30285.6414430904,45765.2532465731,49223.4624331943,63675.6371496645,70086.5458083428,85838.0447145083
"6B",31969.8032291047,51852.1387963502,61148.9522976781,68586.2587362059,73065.483621147,76652.5439805385
"6C",229019.3636446,333213.582547374,261919.503769461,527442.037624232,624060.277990118,993580.927894339
"6D",281724.248671201,419224.747215306,493880.417502529,579351.823309105,634996.525193372,763490.777771814
"7A",274184.675263554,400063.603122848,493186.19589137,582679.989932704,659105.488055341,901189.629280145
"7B",97505.0667619705,138787.921385407,163671.859634716,183578.624037161,195567.759521335,205168.919057019
"7C",58972.5724721344,84762.8651681819,100088.041553452,112437.425913602,120009.426192007,127152.481506218
"7D",353290.247636199,276515.130180901,673456.674128777,863786.081496728,1061178.57335496,1883821.28924917
"7E",81867.1821302983,124043.837582032,146284.239781244,164076.216345595,174791.690417162,183372.87431432
"7F",80158.5735645042,118943.71786658,158174.781651545,202110.86897062,247425.575915389,435102.496725339
"7G",59300.6466469241,84242.3835676702,100056.890909998,113206.182842042,121873.454250332,134819.950527068
"7H",17416.2844182777,25159.4328981119,29670.3857999613,33279.078024051,35452.4649736164,37192.9602984586
"8A",50943.6392937691,72131.0818245106,86736.3941513975,99592.9395586529,109097.172433431,130850.171023317
"9A",93068.0248491777,150290.557477675,180444.502218701,206815.816710811,226075.882297643,268620.470796294
"9B",159407.12498349,221363.918156477,271133.617856029,318015.12530016,356864.492506693,473205.272103653
"10A",205595.05220389,263714.392364252,324639.261973741,382941.738480907,432420.190056124,320223.860265676
"11A",410058.104769953,634339.473335808,757410.175643996,862410.261923495,935479.679445943,886336.101805628
"14A",378088.054105759,745052.755594221,1007324.01293854,1307349.44966419,1623548.25792132,2964820.85753692
"14B",551718.265012882,898886.705191143,1090730.17480213,1265707.79776251,1403393.52734523,1773037.19022941
"14C",318518.964134097,553126.800848994,683732.012001532,810249.009525131,919543.267705448,1272831.08438612
