"","WRU","2070"
"1","1A",334621.224789158
"2","1Ba",7330464.92908411
"3","1Bb",568968.705372037
"4","1C",2023719.05740388
"5","1E2",1562809.8630762
"6","1F",901473.448125501
"7","1G",703004.05252567
"8","1H",1120820.09172954
"9","1K",406979.678939624
"10","1L",262654.482116104
"11","1M",154615.793575058
"12","1N",49857.8034333286
"13","1O",246754.691319284
"14","1P",174034.330052428
"15","1R",633888.034796572
"16","1S",407135.33719955
"17","1T",205273.164245343
"18","2A",563432.579061032
"19","2B",2920308.6933951
"20","2C",876565.241382222
"21","2D",214943.872093537
"22","3A",264228.381678672
"23","3B",64935.7004723022
"24","3C",128516.339361629
"25","3D",342837.862048782
"26","3E",386435.938693528
"27","3F",210680.989488439
"28","4A",196474.074202369
"29","4B",1349511.44730372
"30","4C",1520837.52416138
"31","4D",3640432.41224171
"32","4E",2312560.12574911
"33","4F",391498.647630846
"34","5C",268366.026753083
"35","5D",991176.380926831
"36","5E",1465075.79386974
"37","5F",439069.106314413
"38","6A",85838.0447145083
"39","6B",76652.5439805385
"40","6C",993580.927894339
"41","6D",763490.777771814
"42","7A",901189.629280145
"43","7B",205168.919057019
"44","7C",127152.481506218
"45","7D",1883821.28924917
"46","7E",183372.87431432
"47","7F",435102.496725339
"48","7G",134819.950527068
"49","7H",37192.9602984586
"50","8A",130850.171023317
"51","9A",268620.470796294
"52","9B",473205.272103653
"53","10A",320223.860265676
"54","11A",886336.101805628
"55","14A",2964820.85753692
"56","14B",1773037.19022941
"57","14C",1272831.08438612
"58","14D",117906.029465157
"59","15A",611420.367877771
"60","15B",764491.198246062
"61","15C",66378.5559176052
"62","16E",219911.852217155
"63","16F",435104.017917686
"64","16G",319269.592850116
"65","17A",424545.835669576
"66","17B",47483.8538150421
"67","17C",193666.518424618
