"","WRU","2030"
"1","1A",246772.123136897
"2","1Ba",1432162.31196215
"3","1Bb",367653.637589697
"4","1C",565191.685812762
"5","1E2",395782.747991013
"6","1F",412797.855122175
"7","1G",234911.540484674
"8","1H",419445.652307015
"9","1K",250614.519244466
"10","1L",96077.5537415143
"11","1M",91558.6291079259
"12","1N",33726.6527652042
"13","1O",165843.844556477
"14","1P",114068.502757735
"15","1R",523517.829560716
"16","1S",295100.26016248
"17","1T",214871.212475452
"18","2A",325991.161253215
"19","2B",1208504.28943489
"20","2C",334288.796217031
"21","2D",168505.935707538
"22","3A",282078.855656085
"23","3B",43955.1353122878
"24","3C",86935.7587322356
"25","3D",239566.458347224
"26","3E",276943.760813457
"27","3F",163138.981754685
"28","4A",141505.715763764
"29","4B",1115759.414364
"30","4C",814801.142140507
"31","4D",1369111.2992162
"32","4E",858473.752367895
"33","4F",218891.46010141
"34","5C",155395.835558709
"35","5D",775149.850296048
"36","5E",1140710.69247703
"37","5F",335156.197492767
"38","6A",45765.2532465731
"39","6B",51852.1387963502
"40","6C",333213.582547374
"41","6D",419224.747215306
"42","7A",400063.603122848
"43","7B",138787.921385407
"44","7C",84762.8651681819
"45","7D",276515.130180901
"46","7E",124043.837582032
"47","7F",118943.71786658
"48","7G",84242.3835676702
"49","7H",25159.4328981119
"50","8A",72131.0818245106
"51","9A",150290.557477675
"52","9B",221363.918156477
"53","10A",263714.392364252
"54","11A",634339.473335808
"55","14A",745052.755594221
"56","14B",898886.705191143
"57","14C",553126.800848994
"58","14D",76703.1364887625
"59","15A",443705.094006973
"60","15B",403129.53701264
"61","15C",38543.4135886076
"62","16E",138679.282246057
"63","16F",156863.406848886
"64","16G",119945.027410762
"65","17A",102613.705018338
"66","17B",26299.8343512588
"67","17C",125600.181849831
