"","WRU","2050"
"1","1A",341554.105791389
"2","1Ba",2794799.3331739
"3","1Bb",517472.95655763
"4","1C",952834.966994556
"5","1E2",692385.058610215
"6","1F",596321.533149553
"7","1G",372166.474515814
"8","1H",641302.738344704
"9","1K",337798.751145721
"10","1L",147918.491795065
"11","1M",124452.049573407
"12","1N",44611.1769653682
"13","1O",219650.172678243
"14","1P",151918.307811235
"15","1R",767748.307897925
"16","1S",405850.245748449
"17","1T",341396.497789175
"18","2A",445278.26102948
"19","2B",1794718.79669434
"20","2C",508502.544227351
"21","2D",240096.912103893
"22","3A",450754.015446862
"23","3B",58140.6737484448
"24","3C",114992.333648766
"25","3D",322003.747378228
"26","3E",376289.446488972
"27","3F",231370.231677215
"28","4A",193149.005679888
"29","4B",1626297.75925677
"30","4C",1275165.91847719
"31","4D",2440169.66467542
"32","4E",1542792.26749998
"33","4F",327264.544050573
"34","5C",212367.211962363
"35","5D",1108926.81038096
"36","5E",1624760.27960017
"37","5F",472471.586662133
"38","6A",63675.6371496645
"39","6B",68586.2587362059
"40","6C",527442.037624232
"41","6D",579351.823309105
"42","7A",582679.989932704
"43","7B",183578.624037161
"44","7C",112437.425913602
"45","7D",863786.081496728
"46","7E",164076.216345595
"47","7F",202110.86897062
"48","7G",113206.182842042
"49","7H",33279.078024051
"50","8A",99592.9395586529
"51","9A",206815.816710811
"52","9B",318015.12530016
"53","10A",382941.738480907
"54","11A",862410.261923495
"55","14A",1307349.44966419
"56","14B",1265707.79776251
"57","14C",810249.009525131
"58","14D",102237.44389913
"59","15A",609048.956473983
"60","15B",575699.62002837
"61","15C",52606.0303032922
"62","16E",186009.049204461
"63","16F",278172.735268443
"64","16G",183173.110725574
"65","17A",182856.897886929
"66","17B",36273.7750218663
"67","17C",167515.364911884
