"","WRU","2060"
"1","1A",374719.485360173
"2","1Ba",3623086.97686508
"3","1Bb",573620.211792733
"4","1C",1162254.2433449
"5","1E2",858712.949864021
"6","1F",671341.27401743
"7","1G",440536.427517238
"8","1H",745212.942943793
"9","1K",364380.696597337
"10","1L",172520.240930604
"11","1M",134978.617596304
"12","1N",47524.6395895304
"13","1O",234198.691060044
"14","1P",162583.292156674
"15","1R",871874.395462562
"16","1S",443480.867864555
"17","1T",404700.30286192
"18","2A",484456.693285399
"19","2B",2052634.0062733
"20","2C",589281.133548737
"21","2D",268119.191990546
"22","3A",535873.054821604
"23","3B",61937.7194071818
"24","3C",122502.241901694
"25","3D",346706.873031248
"26","3E",408013.039858377
"27","3F",257655.284974826
"28","4A",210048.5814765
"29","4B",1840407.05396251
"30","4C",1500017.39989408
"31","4D",3050779.6312846
"32","4E",1935626.16237192
"33","4F",375696.767641129
"34","5C",231128.153958704
"35","5D",1241314.19713514
"36","5E",1813997.32462301
"37","5F",524234.012418178
"38","6A",70086.5458083428
"39","6B",73065.483621147
"40","6C",624060.277990118
"41","6D",634996.525193372
"42","7A",659105.488055341
"43","7B",195567.759521335
"44","7C",120009.426192007
"45","7D",1061178.57335496
"46","7E",174791.690417162
"47","7F",247425.575915389
"48","7G",121873.454250332
"49","7H",35452.4649736164
"50","8A",109097.172433431
"51","9A",226075.882297643
"52","9B",356864.492506693
"53","10A",432420.190056124
"54","11A",935479.679445943
"55","14A",1623548.25792132
"56","14B",1403393.52734523
"57","14C",919543.267705448
"58","14D",109473.806938202
"59","15A",664708.455761186
"60","15B",643754.753327245
"61","15C",57206.0058532067
"62","16E",200002.988277434
"63","16F",315406.60220918
"64","16G",212719.631463191
"65","17A",228596.780757993
"66","17B",39708.6335548292
"67","17C",179445.512814983
