"","WRU","2050"
"1","1A",234011.947015604
"2","1Ba",3071533.49034106
"3","1Bb",370052.908177485
"4","1C",897372.454666228
"5","1E2",681269.865615349
"6","1F",446839.498357468
"7","1G",323899.581589418
"8","1H",529648.336734012
"9","1K",219608.845536394
"10","1L",123470.675220802
"11","1M",81981.3058103708
"12","1N",27821.2269629899
"13","1O",134677.851800311
"14","1P",94234.8264486675
"15","1R",595405.070144485
"16","1S",273348.319040177
"17","1T",306311.800533487
"18","2A",296615.841599526
"19","2B",1415395.26438035
"20","2C",417801.700127842
"21","2D",175411.672750985
"22","3A",408186.396230526
"23","3B",35243.1034362518
"24","3C",69738.0530712393
"25","3D",204841.315708786
"26","3E",246148.23446645
"27","3F",167522.927174194
"28","4A",127892.532110243
"29","4B",1244704.92047721
"30","4C",1094629.68095043
"31","4D",2478085.32666102
"32","4E",1581126.44727174
"33","4F",260263.482165238
"34","5C",141695.007957901
"35","5D",817605.095409036
"36","5E",1182470.83811627
"37","5F",337155.561686007
"38","6A",44278.9166571562
"39","6B",42358.9020210168
"40","6C",462459.919625245
"41","6D",397511.86695942
"42","7A",444139.451285602
"43","7B",113538.532355286
"44","7C",69845.5535478771
"45","7D",841997.439888834
"46","7E",101219.287645836
"47","7F",197523.677720202
"48","7G",72187.2809800282
"49","7H",20365.2638817042
"50","8A",67776.2115949131
"51","9A",139018.012393835
"52","9B",238451.51640125
"53","10A",291433.228517764
"54","11A",566518.116871268
"55","14A",1289709.43906053
"56","14B",902554.591602691
"57","14C",623781.638207736
"58","14D",64662.3039181661
"59","15A",409148.690745458
"60","15B",422564.343850172
"61","15C",34813.5633563374
"62","16E",119111.263372752
"63","16F",215143.010231601
"64","16G",150393.017661353
"65","17A",186660.313770643
"66","17B",24769.7812418626
"67","17C",105748.166657351
