"","WRU","2030"
"1","1A",212960.596175214
"2","1Ba",1591629.99904485
"3","1Bb",322706.318876138
"4","1C",563946.008663897
"5","1E2",405578.1741818
"6","1F",369064.885634982
"7","1G",224368.831931435
"8","1H",390610.560631093
"9","1K",213452.565022054
"10","1L",89905.2134913412
"11","1M",78127.6584709337
"12","1N",28394.6560539848
"13","1O",138451.128677146
"14","1P",95498.3312255228
"15","1R",471783.615434531
"16","1S",253002.912274403
"17","1T",206260.370314586
"18","2A",279192.051739227
"19","2B",1101029.61545889
"20","2C",309969.740366854
"21","2D",148920.08839339
"22","3A",271993.136144375
"23","3B",36526.9599289124
"24","3C",72259.7601502322
"25","3D",201972.23124703
"26","3E",235417.830240094
"27","3F",143356.92489429
"28","4A",120761.302908723
"29","4B",1001446.60541877
"30","4C",771406.872570787
"31","4D",1427071.47666784
"32","4E",900369.565698272
"33","4F",200005.185430907
"34","5C",132993.97193113
"35","5D",685946.472926837
"36","5E",1009801.91987773
"37","5F",294771.989496211
"38","6A",39769.7324673267
"39","6B",43459.2575835483
"40","6C",318257.631881636
"41","6D",362487.098855665
"42","7A",359452.480978065
"43","7B",116399.07455831
"44","7C",71134.2491672122
"45","7D",510952.707591493
"46","7E",103911.979593221
"47","7F",120118.238848001
"48","7G",71159.7650080018
"49","7H",20998.4376882626
"50","8A",62014.7476208477
"51","9A",128917.739719517
"52","9B",196437.856090866
"53","10A",235664.56768509
"54","11A",540238.855120713
"55","14A",764605.147101849
"56","14B",788455.189792359
"57","14C",499304.013726117
"58","14D",64782.1254648499
"59","15A",380535.104027002
"60","15B",355836.206718917
"61","15C",32884.231797942
"62","16E",117533.745966735
"63","16F",172117.750222187
"64","16G",111497.958870612
"65","17A",107100.496833407
"66","17B",22727.9760506334
"67","17C",105950.01263596
