"","WRU","2060"
"1","1A",228002.278544463
"2","1Ba",3831544.72525725
"3","1Bb",348854.75376589
"4","1C",1049306.754506
"5","1E2",812762.878164938
"6","1F",460375.257497551
"7","1G",364178.053617641
"8","1H",578837.720060476
"9","1K",203532.385808944
"10","1L",135761.136718861
"11","1M",77264.9718435749
"12","1N",24807.6303145014
"13","1O",119822.143903895
"14","1P",84850.8980227084
"15","1R",630994.381441038
"16","1S",263586.646646037
"17","1T",351227.062228071
"18","2A",279469.480106592
"19","2B",1439685.28020296
"20","2C",328565.208079231
"21","2D",178245.499165674
"22","3A",470153.047617903
"23","3B",31189.5915799411
"24","3C",61725.0167167466
"25","3D",188533.124465365
"26","3E",231785.274380025
"27","3F",169857.485504488
"28","4A",121519.285968848
"29","4B",1306837.13101477
"30","4C",1223332.76840405
"31","4D",2996007.25275509
"32","4E",1918835.45655067
"33","4F",279302.836391515
"34","5C",135164.556359799
"35","5D",838391.707794397
"36","5E",1193434.63923647
"37","5F",335216.552206625
"38","6A",43424.5554585809
"39","6B",37674.3703420307
"40","6C",522900.247589866
"41","6D",386227.563098681
"42","7A",463606.153418918
"43","7B",101019.750853166
"44","7C",62519.4028137662
"45","7D",1000602.86953208
"46","7E",89998.495525287
"47","7F",235142.912010695
"48","7G",66357.4701155549
"49","7H",18068.9537622089
"50","8A",65910.764394952
"51","9A",133670.825646844
"52","9B",247995.320023216
"53","10A",305776.712070927
"54","11A",534284.872306973
"55","14A",1541163.29832757
"56","14B",900235.480127392
"57","14C",654593.590124761
"58","14D",58570.5097663999
"59","15A",392731.433509606
"60","15B",432744.877501031
"61","15C",33073.4169132139
"62","16E",109171.173984749
"63","16F",225749.19874606
"64","16G",163820.773594939
"65","17A",226178.626180446
"66","17B",23937.6143455841
"67","17C",95846.3780410735
