"","WRU","2070"
"1","1A",177430.281292606
"2","1Ba",2810366.32582963
"3","1Bb",247384.43429046
"4","1C",665086.657715797
"5","1E2",429560.368395805
"6","1F",243817.995783991
"7","1G",249104.127068241
"8","1H",384160.417692179
"9","1K",141514.918435123
"10","1L",83284.572970775
"11","1M",61238.4584059042
"12","1N",18022.144132562
"13","1O",91631.8500058572
"14","1P",64142.561560927
"15","1R",701087.684808662
"16","1S",162975.60927254
"17","1T",199953.275679588
"18","2A",180180.65037497
"19","2B",1279417.34492701
"20","2C",358723.138733625
"21","2D",147389.017997932
"22","3A",512329.197049111
"23","3B",22708.9316145256
"24","3C",48024.9755907179
"25","3D",139939.261239856
"26","3E",141304.424049783
"27","3F",163345.840352843
"28","4A",72068.378187176
"29","4B",1123119.74933452
"30","4C",1079514.3945011
"31","4D",2770256.52176038
"32","4E",1974501.44530106
"33","4F",199613.80144906
"34","5C",111813.410951681
"35","5D",693836.143010497
"36","5E",845421.770175352
"37","5F",226037.017148155
"38","6A",32758.6553238705
"39","6B",28708.6338457069
"40","6C",535719.520492554
"41","6D",297013.230202948
"42","7A",411660.092382908
"43","7B",76820.9165635109
"44","7C",46462.478456681
"45","7D",984226.116866052
"46","7E",64500.36045678
"47","7F",224117.150292595
"48","7G",46720.9568488567
"49","7H",13721.6964130606
"50","8A",56300.190431418
"51","9A",74525.6814382405
"52","9B",289916.948617071
"53","10A",300907.153752237
"54","11A",382921.808269874
"55","14A",983984.849238396
"56","14B",633497.245591764
"57","14C",392463.824636221
"58","14D",37779.7974281311
"59","15A",267863.32886697
"60","15B",434494.107858103
"61","15C",18881.2437558669
"62","16E",92396.6563470977
"63","16F",173117.248306541
"64","16G",111238.555443287
"65","17A",235944.9246068
"66","17B",13957.3645001842
"67","17C",82427.1065716285
