"","WRU","2030"
"1","1A",186758.283976088
"2","1Ba",1042873.33306384
"3","1Bb",252972.678171877
"4","1C",387081.684690475
"5","1E2",240350.582410336
"6","1F",267231.206724893
"7","1G",161092.344618909
"8","1H",285425.783237219
"9","1K",186845.647602233
"10","1L",66462.0349710731
"11","1M",74371.4486481149
"12","1N",25428.2317828424
"13","1O",123014.32673416
"14","1P",83716.9066603516
"15","1R",452780.399614796
"16","1S",210879.507300317
"17","1T",147123.862462997
"18","2A",219851.43169744
"19","2B",919455.756278808
"20","2C",252999.956202775
"21","2D",129012.039631896
"22","3A",259297.967683561
"23","3B",32041.0251083337
"24","3C",67760.5391096963
"25","3D",183652.707160413
"26","3E",199372.594468903
"27","3F",138464.17907238
"28","4A",101684.42805588
"29","4B",875488.174375945
"30","4C",689424.133521785
"31","4D",1214187.73598119
"32","4E",823098.320289612
"33","4F",172639.259824574
"34","5C",122743.284383765
"35","5D",615416.719179392
"36","5E",848029.055391935
"37","5F",240210.593915551
"38","6A",34747.6353798095
"39","6B",35966.5058860347
"40","6C",297753.115300179
"41","6D",322293.32536015
"42","7A",328563.543281436
"43","7B",108389.99195385
"44","7C",65555.943578162
"45","7D",478494.959860027
"46","7E",91006.3807204313
"47","7F",108664.21920873
"48","7G",65920.6422808839
"49","7H",19360.5419341942
"50","8A",58594.581415888
"51","9A",103603.492833906
"52","9B",197168.195622206
"53","10A",245426.195906897
"54","11A",463106.686992291
"55","14A",503657.928752899
"56","14B",637465.562398294
"57","14C",371270.725977697
"58","14D",53305.1696052551
"59","15A",343952.281401571
"60","15B",342649.788468356
"61","15C",26640.3728606795
"62","16E",113084.319934336
"63","16F",150057.58736521
"64","16G",85392.0851895201
"65","17A",97350.5423374176
"66","17B",19693.056108914
"67","17C",102329.353221889
