"","WRU","2040"
"1","1A",198895.836741263
"2","1Ba",1469377.81606281
"3","1Bb",270802.849565433
"4","1C",470858.192352295
"5","1E2",295640.251224518
"6","1F",282614.291159465
"7","1G",190499.497160227
"8","1H",326251.748467745
"9","1K",191891.861260665
"10","1L",74752.4336249535
"11","1M",77348.0869651246
"12","1N",25871.123276148
"13","1O",126033.428336691
"14","1P",86123.0345182227
"15","1R",535618.792198798
"16","1S",217217.062992394
"17","1T",168549.501027107
"18","2A",228483.571064687
"19","2B",1059231.50594889
"20","2C",292777.028734922
"21","2D",142289.98986616
"22","3A",328587.902195364
"23","3B",32599.0938485935
"24","3C",68940.7459162251
"25","3D",188778.813074529
"26","3E",202845.130129004
"27","3F",153731.893281755
"28","4A",103455.497875343
"29","4B",989827.812418633
"30","4C",817924.670916319
"31","4D",1611831.07871333
"32","4E",1111694.2797699
"33","4F",190877.165029705
"34","5C",129774.298431951
"35","5D",676933.325701714
"36","5E",910979.544076702
"37","5F",255393.095649322
"38","6A",36955.9429986931
"39","6B",37227.2778069103
"40","6C",366950.942608833
"41","6D",341429.076832808
"42","7A",369534.815187216
"43","7B",110277.855013371
"44","7C",66697.7521550338
"45","7D",614008.451723993
"46","7E",92591.4679926029
"47","7F",139557.746016809
"48","7G",67068.8029319008
"49","7H",19697.7505665999
"50","8A",62527.3275531451
"51","9A",105624.294105593
"52","9B",230209.061016232
"53","10A",274731.29894214
"54","11A",481956.193106175
"55","14A",636046.160463333
"56","14B",684389.64788786
"57","14C",403233.943131779
"58","14D",54233.6026763916
"59","15A",354692.056815844
"60","15B",386399.84957883
"61","15C",27104.3769225255
"62","16E",117468.747839103
"63","16F",165833.71944802
"64","16G",96878.2167415972
"65","17A",131959.680517912
"66","17B",20036.056361648
"67","17C",106063.747867963
