"","WRU","2050"
"1","1A",199552.43980999
"2","1Ba",1937249.52463067
"3","1Bb",273490.043650313
"4","1C",548075.028823853
"5","1E2",347818.427108765
"6","1F",280985.85878293
"7","1G",215571.801743093
"8","1H",356081.056304109
"9","1K",183364.996028893
"10","1L",80124.6840162499
"11","1M",75206.7815017377
"12","1N",24395.1224654838
"13","1O",120027.217957819
"14","1P",82490.3725845778
"15","1R",606327.408091284
"16","1S",208424.484318793
"17","1T",184419.105612755
"18","2A",221937.260842359
"19","2B",1166012.2129303
"20","2C",323862.045771629
"21","2D",149075.747537516
"22","3A",397356.022339754
"23","3B",30739.2485523559
"24","3C",65007.5343450358
"25","3D",180612.632124782
"26","3E",191272.398164311
"27","3F",162330.775504887
"28","4A",97553.149071344
"29","4B",1067236.45552366
"30","4C",928651.832504816
"31","4D",2028550.21352948
"32","4E",1418818.16718674
"33","4F",200565.598247647
"34","5C",128981.475809061
"35","5D",706944.902451754
"36","5E",924101.699879944
"37","5F",255682.543320073
"38","6A",37013.4509818055
"39","6B",35960.4210729436
"40","6C",432500.981936455
"41","6D",340219.575883846
"42","7A",396075.924775749
"43","7B",103986.276274681
"44","7C",62892.508185179
"45","7D",750808.20122987
"46","7E",87308.9337610109
"47","7F",170778.360260101
"48","7G",63242.3894286992
"49","7H",18573.9532319334
"50","8A",62894.6248866078
"51","9A",99890.4586922301
"52","9B",257076.369837403
"53","10A",292875.562602352
"54","11A",469028.933051321
"55","14A",766773.97177887
"56","14B",693741.224537674
"57","14C",414676.798502424
"58","14D",51139.4640769958
"59","15A",340872.512518764
"60","15B",415401.676941413
"61","15C",25558.0163789222
"62","16E",114029.516888423
"63","16F",174156.268706893
"64","16G",104860.388507462
"65","17A",168900.123878479
"66","17B",18892.9579473294
"67","17C",102650.034869905
