"","2020","2030","2040","2050","2060","2070"
"4E",574061.990409851,823098.320289612,1111694.2797699,1418818.16718674,1713813.43302536,1974501.44530106
"4F",146062.413778067,172639.259824574,190877.165029705,200565.598247647,202637.289348006,199613.80144906
"5C",107448.550344497,122743.284383765,129774.298431951,128981.475809061,122061.329803882,111813.410951681
"5D",522798.230223179,615416.719179392,676933.325701714,706944.902451754,709385.214588165,693836.143010497
"5E",733638.719857773,848029.055391935,910979.544076702,924101.699879944,896614.393871884,845421.770175352
"5F",209415.485254114,240210.593915551,255393.095649322,255682.543320073,244151.360636629,226037.017148155
"6A",30285.6414430904,34747.6353798095,36955.9429986931,37013.4509818055,35362.4959472835,32758.6553238705
"6B",31969.8032291047,35966.5058860347,37227.2778069103,35960.4210729436,32802.2295522793,28708.6338457069
"6C",229019.3636446,297753.115300179,366950.942608833,432500.981936455,489441.377408981,535719.520492554
"6D",281724.248671201,322293.32536015,341429.076832808,340219.575883846,323002.089175262,297013.230202948
"7A",274184.675263554,328563.543281436,369534.815187216,396075.924775749,408872.013213992,411660.092382908
"7B",97505.0667619705,108389.99195385,110277.855013371,103986.276274681,91765.6082601547,76820.9165635109
"7C",58972.5724721344,65555.943578162,66697.7521550338,62892.508185179,55501.2591652884,46462.478456681
"7D",353290.247636199,478494.959860027,614008.451723993,750808.20122987,876688.091284752,984226.116866052
"7E",81867.1821302983,91006.3807204313,92591.4679926029,87308.9337610109,77048.2194650688,64500.36045678
"7F",80158.5735645042,108664.21920873,139557.746016809,170778.360260101,199533.385637933,224117.150292595
"7G",59300.6466469241,65920.6422808839,67068.8029319008,63242.3894286992,55810.0218373277,46720.9568488567
"7H",17416.2844182777,19360.5419341942,19697.7505665999,18573.9532319334,16391.1065404226,13721.6964130606
"8A",50943.6392937691,58594.581415888,62527.3275531451,62894.6248866078,60406.015758917,56300.190431418
"9A",93068.0248491777,103603.492833906,105624.294105593,99890.4586922301,88515.3071131741,74525.6814382405
"9B",159407.12498349,197168.195622206,230209.061016232,257076.369837403,276709.466613352,289916.948617071
"10A",205595.05220389,245426.195906897,274731.29894214,292875.562602352,300596.93095998,300907.153752237
"11A",410058.104769953,463106.686992291,481956.193106175,469028.933051321,432062.483280221,382921.808269874
"14A",378088.054105759,503657.928752899,636046.160463333,766773.97177887,884778.048772812,983984.849238396
"14B",551718.265012882,637465.562398294,684389.64788786,693741.224537674,672519.077736496,633497.245591764
"14C",318518.964134097,371270.725977697,403233.943131779,414676.798502424,408868.805084502,392463.824636221
"14D",47952.0666236877,53305.1696052551,54233.6026763916,51139.4640769958,45129.4553947449,37779.7974281311
"15A",306530.340982467,343952.281401571,354692.056815844,340872.512518764,308807.902921211,267863.32886697
"15B",285319.430518972,342649.788468356,386399.84957883,415401.676941413,430191.820581608,434494.107858103
"15C",23965.0477619694,26640.3728606795,27104.3769225255,25558.0163789222,22554.3889171137,18881.2437558669
"16E",100263.050578386,113084.319934336,117468.747839103,114029.516888423,104694.053404166,92396.6563470977
"16F",127003.29176122,150057.58736521,165833.71944802,174156.268706893,175849.223073419,173117.248306541
"16G",70750.9753771612,85392.0851895201,96878.2167415972,104860.388507462,109370.796281401,111238.555443287
"17A",67607.4684066772,97350.5423374176,131959.680517912,168900.123878479,204463.155976057,235944.9246068
"17B",17715.4063258956,19693.056108914,20036.056361648,18892.9579473294,16672.6211448206,13957.3645001842
"17C",90868.8373091981,102329.353221889,106063.747867963,102650.034869905,93872.9023122907,82427.1065716285
