"","2020","2030","2040","2050","2060","2070"
"3D",164040.396507204,182768.016354322,186961.704347074,177762.241046667,158904.970193505,135854.720603615
"3E",179350.858505452,198412.178032438,200892.624877359,188253.776813935,164925.904867047,137180.038373656
"3F",116760.069398488,137797.171113321,152252.132848343,159768.903671413,161118.970847506,158578.110708431
"4A",91472.9002402404,101194.594543047,102459.677283879,96013.5847863713,84115.8552528087,69964.8504396944
"4B",727455.567486561,871270.779190388,980300.13253432,1050393.553184,1083236.35355691,1090338.19232187
"4C",549520.192271693,686103.03997708,810051.654721363,913996.035921098,992366.494535265,1048005.5711634
"4D",863856.233875598,1208338.75912454,1596316.24662958,1996536.0407062,2368465.63054556,2689398.44607906
"4E",574061.990409851,819133.293338776,1100993.56725693,1396426.67672348,1674542.57675552,1916869.8021698
"4F",146062.413778067,171807.624810874,189039.857854605,197400.30852592,197993.990851164,193787.483475983
"5C",107448.550344497,122152.005715823,128525.143816087,126945.918158454,119264.377584357,108549.807190257
"5D",522798.230223179,612452.139774323,670417.443492889,695788.041848898,693130.138154507,673584.497235298
"5E",733638.719857773,843943.935528961,902210.824824845,909517.719784174,876069.088475446,820745.641907878
"5F",209415.485254114,239053.45283409,252934.784938821,251647.414429364,238556.800121837,219439.45974808
"6A",30285.6414430904,34580.2492711172,36600.2199471729,36429.3120806061,34552.1890736187,31802.4977830899
"6B",31969.8032291047,35793.2483650426,36868.9430804324,35392.9012374689,32050.5889572207,27870.6875443419
"6C",229019.3636446,296318.781795502,363418.824391365,425675.344337463,478226.166140556,520082.973664284
"6D",281724.248671201,320740.776806393,338142.617829352,334850.298910675,315600.718692037,288344.02274598
"7A",274184.675263554,326980.788177103,365977.82192269,389825.138973862,399502.991774276,399644.581963673
"7B",97505.0667619705,107867.856283665,109216.365109444,102345.186320305,89662.8625030518,74578.6717395782
"7C",58972.5724721344,65240.1480194811,66055.7467617741,61899.9517722472,54229.486046918,45106.3340627263
"7D",353290.247636199,476189.951335311,608098.261591196,738959.097579837,856599.38773942,955498.569268882
"7E",81867.1821302983,90567.9853777681,91700.2196394932,85931.0422456725,75282.7124282214,62617.727542795
"7F",80158.5735645042,108140.762825531,138214.420319168,168083.171640112,194961.218721429,217575.62327711
"7G",59300.6466469241,65603.0896699699,66423.2257733253,62244.3113852871,54531.1736435307,45357.2681609602
"7H",17416.2844182777,19267.2782817661,19508.148093376,18280.8231421677,16015.5155441669,13321.1883147063
"8A",50943.6392937691,58312.3194937922,61925.4645983568,61902.0353909318,59021.8537464952,54656.903625324
"9A",93068.0248491777,103104.414556049,104607.596825728,98314.0079178592,86487.0394655192,72350.4301567265
"9B",159407.12498349,196218.397398561,227993.162628233,253019.243275195,270368.85938409,281454.866663456
"10A",205595.05220389,244243.930271177,272086.84584097,288253.460209677,293708.957446728,292124.298027355
"11A",410058.104769953,460875.812713491,477317.079794317,461626.814316676,422162.067509122,371745.108626865
"14A",378088.054105759,501231.711065292,629923.836452484,754672.90322113,864503.958871841,955264.34251976
"14B",551718.265012882,634394.769883075,677801.990234133,682792.745784446,657108.764960489,615006.76527739
"14C",318518.964134097,369482.242675666,399352.57525652,408132.454710057,399499.853513026,381008.614192718
"14D",47952.0666236877,53048.3879547119,53711.5716743469,50332.3915176392,44095.3449935913,36677.0830459595
"15A",306530.340982467,342295.396445716,351277.933207093,335492.932756078,301731.784407777,260044.946599532
"15B",285319.430518972,340999.177121418,382680.521801598,408845.892178578,420334.268228039,421812.113006862
"15C",23965.0477619694,26512.0412738402,26843.4809758159,25154.6649466964,22037.570463777,18330.1391549267
"16E",100263.050578386,112539.570718695,116338.041221881,112229.926821528,102295.061112362,89699.7872351382
"16F",127003.29176122,149334.729781394,164237.472648587,171407.76834999,171819.758238593,168064.312252954
"16G",70750.9753771612,84980.7344810603,95945.7075831451,103205.501988499,106864.639116879,107991.728961751
"17A",67607.4684066772,96881.5851056576,130689.489029646,166234.575904369,199778.02726388,229058.176863194
"17B",17715.4063258956,19598.1908684203,19843.1972103638,18594.7933061223,16290.5795896434,13549.9776506917
"17C",90868.8373091981,101836.412476867,105042.822017726,101030.033728807,91721.8694803788,80021.2296771852
