"","WRU","2060"
"1","1A",359105.735556372
"2","1Ba",6034719.07068336
"3","1Bb",582263.20071683
"4","1C",1652667.99681263
"5","1E2",1280109.18344952
"6","1F",725095.362385648
"7","1G",573583.853765989
"8","1H",911674.853249919
"9","1K",320565.424761386
"10","1L",213825.075491281
"11","1M",121693.05818923
"12","1N",39072.2512795066
"13","1O",188721.005009034
"14","1P",133640.963699164
"15","1R",993822.101014141
"16","1S",415151.445446794
"17","1T",553185.937470436
"18","2A",444092.195705724
"19","2B",2376320.68413926
"20","2C",718299.365771222
"21","2D",280738.33795312
"22","3A",740495.473859287
"23","3B",49123.9000356484
"24","3C",97217.4821383751
"25","3D",296941.444730399
"26","3E",365063.989579131
"27","3F",267527.13458689
"28","4A",191394.019253358
"29","4B",2058280.77476097
"30","4C",1926760.62094005
"31","4D",4718739.53287118
"32","4E",3022183.90532997
"33","4F",439904.600897324
"34","5C",212885.448639672
"35","5D",1320474.83475905
"36","5E",1879670.78062437
"37","5F",527969.222852048
"38","6A",68394.0835498998
"39","6B",59337.4879184767
"40","6C",823572.814309005
"41","6D",608312.046168039
"42","7A",730184.039215676
"43","7B",159107.058588885
"44","7C",98468.64811593
"45","7D",1575958.91775997
"46","7E",141748.478060379
"47","7F",370352.292808187
"48","7G",104513.640726292
"49","7H",28458.7719016636
"50","8A",103810.073265614
"51","9A",210532.808688875
"52","9B",390594.962611351
"53","10A",481601.20232536
"54","11A",841503.705364268
"55","14A",2427346.72274455
"56","14B",1417879.34983207
"57","14C",1030991.06931942
"58","14D",92249.1040571695
"59","15A",618555.70910913
"60","15B",681577.252345769
"61","15C",52090.9434867546
"62","16E",171945.626698739
"63","16F",355557.114013672
"64","16G",258019.259243724
"65","17A",356233.456627277
"66","17B",37701.9687618779
"67","17C",150958.94483936
