"","WRU","2030"
"1","1A",242272.489927147
"2","1Ba",1810701.93617655
"3","1Bb",367123.612586208
"4","1C",641567.529237935
"5","1E2",461401.949774169
"6","1F",419862.972542852
"7","1G",255250.954297805
"8","1H",444374.194140079
"9","1K",242832.173461387
"10","1L",102279.765903602
"11","1M",88881.148364464
"12","1N",32302.8960837842
"13","1O",157507.540306921
"14","1P",108642.720317466
"15","1R",536719.906890772
"16","1S",287826.229611903
"17","1T",234650.045286947
"18","2A",317620.042184244
"19","2B",1252575.31839489
"20","2C",352633.972311919
"21","2D",169417.447521269
"22","3A",309430.269969231
"23","3B",41554.5301508849
"24","3C",82205.592603471
"25","3D",229771.686391196
"26","3E",267820.737580403
"27","3F",163088.570039537
"28","4A",137382.886951656
"29","4B",1139285.70371331
"30","4C",877583.308427143
"31","4D",1623493.57431909
"32","4E",1024296.4238652
"33","4F",227533.897196264
"34","5C",151299.260429865
"35","5D",780360.138240282
"36","5E",1148791.04310113
"37","5F",335344.402525553
"38","6A",45243.6380577235
"39","6B",49440.9891536113
"40","6C",362062.608464722
"41","6D",412379.819016336
"42","7A",408927.515833399
"43","7B",132420.241737612
"44","7C",80925.1662097516
"45","7D",581280.231942913
"46","7E",118214.423165244
"47","7F",136651.311690078
"48","7G",80954.1940692026
"49","7H",23888.6623099836
"50","8A",70550.456738462
"51","9A",146661.976277715
"52","9B",223475.560039018
"53","10A",268101.43568388
"54","11A",614597.324314708
"55","14A",869845.388428556
"56","14B",896978.152962145
"57","14C",568028.213140084
"58","14D",73698.7363822896
"59","15A",432911.951213653
"60","15B",404813.497423243
"61","15C",37410.4172163629
"62","16E",133711.089194534
"63","16F",195808.034964271
"64","16G",126844.537253133
"65","17A",121841.806963525
"66","17B",25856.2544008937
"67","17C",120532.970717085
