"","WRU","2040"
"1","1A",288733.628612569
"2","1Ba",2885472.41708128
"3","1Bb",446285.192151993
"4","1C",917772.191788883
"5","1E2",679654.636118494
"6","1F",523536.05708513
"7","1G",346932.866255313
"8","1H",585188.56087651
"9","1K",281528.710566794
"10","1L",135544.476160437
"11","1M",103852.696660628
"12","1N",36694.8610830123
"13","1O",178208.916952293
"14","1P",123640.009039363
"15","1R",681336.862058547
"16","1S",340372.368848152
"17","1T",322754.097074845
"18","2A",373140.149020956
"19","2B",1606171.04111186
"20","2C",462746.565639398
"21","2D",208436.483851085
"22","3A",427906.359859109
"23","3B",46840.3661549071
"24","3C",92674.3989750737
"25","3D",264485.562471397
"26","3E",312299.768385197
"27","3F",199766.28691221
"28","4A",161094.723854313
"29","4B",1436323.27575716
"30","4C",1181767.77605838
"31","4D",2434079.10600235
"32","4E",1545353.19572543
"33","4F",293437.356935005
"34","5C",177894.746191737
"35","5D",964735.604325425
"36","5E",1410930.58618398
"37","5F",407545.994580434
"38","6A",54269.1837540705
"39","6B",56014.6718724055
"40","6C",493285.317750026
"41","6D",491233.685647491
"42","7A",514526.926581021
"43","7B",150084.568270754
"44","7C",91955.7309560648
"45","7D",846382.747523772
"46","7E",133891.102094561
"47","7F",198553.91099768
"48","7G",93229.0184370156
"49","7H",26997.2546864762
"50","8A",83837.673878599
"51","9A",173361.064833337
"52","9B",278321.907818612
"53","10A",336972.324278357
"54","11A",717691.42121677
"55","14A",1284137.15833316
"56","14B",1089659.06142447
"57","14C",718614.83227414
"58","14D",84349.1814400498
"59","15A",511043.362364498
"60","15B",499465.866492101
"61","15C",43859.2577919101
"62","16E",154012.344247537
"63","16F",247824.822279463
"64","16G",166644.545055735
"65","17A",182976.311460992
"66","17B",30726.3029215075
"67","17C",137922.456813835
