"","WRU","2050"
"1","1A",349888.300404688
"2","1Ba",2770200.85855423
"3","1Bb",534936.430976837
"4","1C",961661.00569859
"5","1E2",695238.997056705
"6","1F",614414.02296057
"7","1G",379558.830621549
"8","1H",657116.163873174
"9","1K",350806.973491873
"10","1L",151401.827531031
"11","1M",128063.314227351
"12","1N",46573.9861957591
"13","1O",224676.689710039
"14","1P",154962.560854524
"15","1R",786911.153543347
"16","1S",414199.026565995
"17","1T",351924.327149197
"18","2A",458191.547828861
"19","2B",1841735.13113246
"20","2C",521038.343317182
"21","2D",246947.813577471
"22","3A",464780.125601408
"23","3B",58998.5412002915
"24","3C",116744.639543864
"25","3D",328670.069869263
"26","3E",384329.144910587
"27","3F",237048.559709221
"28","4A",197507.119781819
"29","4B",1668167.82911725
"30","4C",1303467.64489758
"31","4D",2465865.34301713
"32","4E",1557811.85395152
"33","4F",334253.22335728
"34","5C",218107.885281642
"35","5D",1137208.91362342
"36","5E",1676057.80911703
"37","5F",488681.031015916
"38","6A",65626.3478742897
"39","6B",70910.708322075
"40","6C",539595.091511656
"41","6D",597347.944205747
"42","7A",599130.887125056
"43","7B",190068.613318563
"44","7C",116044.375096483
"45","7D",879086.91296868
"46","7E",169445.643508581
"47","7F",207415.68162803
"48","7G",116051.14301124
"49","7H",34092.3682540609
"50","8A",101639.95620934
"51","9A",210981.964006254
"52","9B",326416.855832254
"53","10A",391833.124226617
"54","11A",883559.187216947
"55","14A",1310235.50367097
"56","14B",1305205.16503279
"57","14C",833451.764227842
"58","14D",106156.695344422
"59","15A",623798.444113123
"60","15B",588997.544146336
"61","15C",53768.8331692478
"62","16E",192620.113670108
"63","16F",288455.684480017
"64","16G",187234.218900137
"65","17A",185511.247382333
"66","17B",37461.5461880021
"67","17C",173307.850162392
