"","2020","2030","2040","2050","2060","2070"
"4C",549520.192271693,752301.035106906,947964.42264299,1147100.0404222,1331031.81666964,1494130.91704927
"4D",863856.233875598,1200225.72377272,1611855.63135609,2078858.87623839,2566959.83197631,3057316.16391866
"4E",574061.990409851,799780.710075378,1086271.69852448,1415772.35997772,1764893.52462769,2119870.04330444
"4F",146062.413778067,198530.044103503,242072.170787871,282476.03058207,315177.539722085,339493.667174816
"5C",107448.550344497,145471.295506102,174106.521891132,198803.963100617,216366.585758467,226618.117756698
"5D",522798.230223179,710256.234405994,864105.017706156,1005761.24738264,1118983.32377338,1201518.67466259
"5E",733638.719857773,994594.901035459,1198058.37275026,1378448.17334878,1513560.03324255,1601426.98728221
"5F",209415.485254114,283654.22524431,340250.46337583,389549.413456569,425282.942438981,447031.93633152
"6A",30285.6414430904,41023.1735246659,49214.8238019883,56354.3600171085,61534.968658407,64695.3926939583
"6B",31969.8032291047,43208.1837386913,51286.1430407355,57980.3965372121,62360.6001745232,64416.7666291357
"6C",229019.3636446,314937.657619476,404802.335042953,500105.402816772,592670.251487732,679351.883522034
"6D",281724.248671201,381480.842546837,456933.550820128,522240.404957964,569001.348268875,596718.401450784
"7A",274184.675263554,373281.329300642,458599.570321232,539745.238986969,607981.486703455,661682.066908777
"7B",97505.0667619705,131605.099389553,155201.195856094,174077.706759453,185446.356895447,189376.674944878
"7C",58972.5724721344,79596.7997871849,93868.0836096987,105284.889389304,112160.824968753,114537.942141281
"7D",353290.247636199,488416.791826725,642342.952499628,811998.181049824,984046.163348317,1152165.77828574
"7E",81867.1821302983,110498.244180217,130309.993279712,146159.084805682,155704.428631182,159004.401193587
"7F",80158.5735645042,110830.834906013,145833.37828906,184442.131235133,223627.509246536,261947.819781236
"7G",59300.6466469241,80039.6098215019,94390.2874044147,105870.606886612,112784.794125404,115175.135939695
"7H",17416.2844182777,23507.2074809415,27721.9251677947,31093.6337369525,33124.2940206587,33826.3244008763
"8A",50943.6392937691,69024.9169553372,82920.1461915716,95101.264686335,104037.43400819,109614.471148388
"9A",93068.0248491777,125635.991380064,148274.715278087,166464.458851083,177538.32940957,181551.511822165
"9B",159407.12498349,217849.770372331,272356.334446073,326789.592770338,375838.348700464,418086.098769844
"10A",205595.05220389,279774.413902594,342996.069195678,402727.457049006,452452.930030022,491025.447760799
"11A",410058.104769953,554447.151063026,659482.820588576,747453.834059954,806359.915244418,835936.146595545
"14A",378088.054105759,521562.795213699,679572.576457977,851191.274383545,1022463.9918251,1187271.54697418
"14B",551718.265012882,747927.658735375,900716.73742644,1036047.44692526,1137231.97270785,1202812.3857007
"14C",318518.964134097,432233.152051213,523033.106216572,604997.240306675,668368.850629483,712057.327103039
"14D",47952.0666236877,64722.1394195557,76326.475112915,85609.7644882202,91200.7587203979,93133.6516189575
"15A",306530.340982467,414164.002482134,490899.219166448,554023.198733929,594649.584812958,612751.515706858
"15B",285319.430518972,388540.708552087,477916.701362651,563235.128062446,635376.312173966,692591.031347485
"15C",23965.0477619694,32346.2419108864,38145.7517528568,42785.2694124855,45579.4858135009,46545.4895289952
"16E",100263.050578386,135547.340426289,161110.177975656,182443.281287947,196618.10983488,203581.353908673
"16F",127003.29176122,172617.250236561,210434.13745943,245501.340583704,273852.384389927,294897.561861474
"16G",70750.9753771612,96404.1911715505,118905.823465345,140563.917544544,159101.041412758,174050.875704405
"17A",67607.4684066772,94246.2921540737,128316.73962307,167610.915001869,209358.66468668,251907.124204636
"17B",17715.4063258956,23910.9402195732,28198.0449913554,31627.6621513117,33693.1985295887,34407.2863445884
"17C",90868.8373091981,122825.627519854,145866.111056686,165012.131593745,177615.551494437,183640.275879691
