"","2020","2030","2040","2050","2060","2070"
"1A",162613.469115465,220291.99365158,264424.768369465,302979.95114871,331081.512609162,348386.222816902
"1Ba",690427.313384473,969041.759503603,1355836.6976583,1814619.81483173,2315265.34441042,2837161.37851179
"1Bb",219424.610226389,297384.481560726,357707.923451437,410875.679729668,450271.726572065,475358.739733798
"1C",301477.032797813,413920.568855286,528326.981826782,648026.231788635,762438.602191925,867797.681303024
"1E2",185212.170488834,254635.451461792,326953.348791122,403497.949529648,477673.563583374,546971.094946861
"1F",233886.409988927,316658.690687228,379031.558897661,432852.953656781,471161.829587448,493570.479842766
"1G",128777.333458028,176234.498241289,221711.617342755,267822.226425361,310207.433334616,347584.228232995
"1H",235011.320552642,320463.184693153,396627.615365647,470672.037430416,534964.40414564,587819.215922221
"1K",166994.892919198,225560.346089765,266937.02115941,300693.105025823,322007.61797555,330907.031903503
"1L",55460.6043262465,75505.6089629044,92764.8926551836,109180.924249531,122986.384147995,133852.1781675
"1M",65882.8509324614,89076.7581081224,105924.957549963,120018.19632535,129429.729423647,134119.641865486
"1N",22874.6343311071,30874.4827582091,36410.1140231714,40838.5330084264,43505.6120413989,44427.6621336862
"1O",110129.035738631,148723.74879277,175846.452048935,197864.787335013,211607.196721331,217106.907086634
"1P",74734.644235061,100957.531392528,119553.300709734,134776.366574635,144465.496961007,148624.989680581
"1R",361841.308522748,495206.310755909,623100.338887769,752827.820841972,872135.788805449,977408.512381224
"1S",188085.74395588,254106.619863272,301056.840156019,339590.880816877,364262.458858073,375067.976985753
"1T",120905.952897072,164906.203458786,204314.818504333,242740.411631584,276245.931901932,303942.692743301
"2A",194859.480248431,263443.86844819,313183.870089082,354731.795847782,382393.290858043,396059.074925748
"2B",752041.695034191,1026310.88314725,1274895.2104916,1519025.31550215,1734048.99186033,1914106.13944857
"2C",206135.504049823,281444.703719735,350360.73437956,418429.480444193,478856.938057572,529962.047534853
"2D",109364.35183626,148615.566573657,181016.905087277,210972.09813286,235073.27625794,252828.317062311
"3A",193963.823070399,267691.618817002,349482.846562713,438605.951625928,527867.408384562,614057.835847527
"3B",28823.3465655409,38903.6130288094,45878.8246041723,51458.8856074028,54819.5573510975,55981.3938145563
"3C",60955.7742610543,82273.5780787856,97024.794677113,108825.538734362,115932.706686918,118389.763937548
"3D",164040.396507204,221584.915328503,262319.516701758,295611.512959778,316720.967701793,325665.239403725
"3E",179350.858505452,242074.472039229,285477.14232307,320198.603101864,341110.102559373,348339.531774863
"3F",116760.069398488,158763.823161618,193936.948389892,226777.083528127,253618.465175606,273879.906858492
"4A",91472.9002402404,123463.329015795,145599.649231767,163308.361966558,173973.688693162,177660.856976645
"4B",727455.567486561,990881.641108502,1220242.00342457,1439969.91298097,1626743.46826943,1775960.09021737
