"","WRU","2030"
"1","1A",250002.003381496
"2","1Ba",1432909.24722934
"3","1Bb",374320.120715584
"4","1C",570853.398777933
"5","1E2",398707.052958875
"6","1F",420104.711918615
"7","1G",238261.431967568
"8","1H",426133.778702454
"9","1K",255653.101202028
"10","1L",97565.406140201
"11","1M",92973.7687363272
"12","1N",34476.2598441056
"13","1O",167944.466285854
"14","1P",115371.894366219
"15","1R",530073.733644875
"16","1S",298366.523169753
"17","1T",217832.992028341
"18","2A",331068.249711067
"19","2B",1227051.54211836
"20","2C",339241.260780767
"21","2D",171149.760597187
"22","3A",285966.913923994
"23","3B",44350.3510474977
"24","3C",87736.4482449369
"25","3D",242324.285240792
"26","3E",280182.336659585
"27","3F",165214.265571309
"28","4A",143237.623763249
"29","4B",1130810.03411077
"30","4C",826320.971500152
"31","4D",1381436.32392501
"32","4E",865835.555132827
"33","4F",221730.882330952
"34","5C",157597.390953143
"35","5D",785504.415010011
"36","5E",1161926.52030247
"37","5F",341821.620285829
"38","6A",46525.6565143924
"39","6B",52767.4170255334
"40","6C",337786.137300067
"41","6D",426115.750061163
"42","7A",406457.274714213
"43","7B",141329.577658784
"44","7C",86189.3694942778
"45","7D",281253.662531656
"46","7E",126167.980731284
"47","7F",120544.554082113
"48","7G",85405.3610283742
"49","7H",25495.9100677544
"50","8A",72907.3756970394
"51","9A",152025.977177748
"52","9B",223978.224256474
"53","10A",266679.588495098
"54","11A",642707.404116158
"55","14A",749696.614367855
"56","14B",914445.374129459
"57","14C",562307.304184637
"58","14D",78221.3043379809
"59","15A",449509.925912919
"60","15B",407925.811795954
"61","15C",39006.4973003302
"62","16E",141279.210648834
"63","16F",160590.557588671
"64","16G",121778.602119882
"65","17A",103647.555653228
"66","17B",26763.5547298643
"67","17C",127869.402334996
