"","WRU","2070"
"1","1A",346244.034730893
"2","1Ba",7154411.62136723
"3","1Bb",597399.412988495
"4","1C",2007706.59936062
"5","1E2",1543512.73408899
"6","1F",927326.572171285
"7","1G",708542.207137703
"8","1H",1139249.39822935
"9","1K",428348.941788465
"10","1L",266551.787282207
"11","1M",161098.156786969
"12","1N",53136.9685467032
"13","1O",254930.865541375
"14","1P",178907.164417259
"15","1R",652479.104343695
"16","1S",417761.762184569
"17","1T",210667.744385387
"18","2A",586209.673081266
"19","2B",2999753.98729991
"20","2C",897684.468762222
"21","2D",225009.601916321
"22","3A",271255.861738364
"23","3B",66270.1037118744
"24","3C",131249.469599263
"25","3D",352806.30480942
"26","3E",398150.722163422
"27","3F",217280.142506095
"28","4A",202655.978331637
"29","4B",1460090.69674472
"30","4C",1689660.26456421
"31","4D",3705213.16857888
"32","4E",2355874.52597698
"33","4F",400422.281113026
"34","5C",280067.751986143
"35","5D",1025278.94229481
"36","5E",1608146.53630004
"37","5F",466420.630520118
"38","6A",89243.3879395371
"39","6B",80495.1437466368
"40","6C",1018482.81879651
"41","6D",797228.170361999
"42","7A",930342.959123938
"43","7B",215918.137820132
"44","7C",133165.727713212
"45","7D",1916167.15426355
"46","7E",192234.601066523
"47","7F",452388.070000356
"48","7G",139520.714762946
"49","7H",38513.4284511035
"50","8A",135804.414323678
"51","9A",275883.17176808
"52","9B",501272.658566269
"53","10A",328219.84958672
"54","11A",917921.604529875
"55","14A",2924318.50150995
"56","14B",1837508.38522229
"57","14C",1310326.85696361
"58","14D",124412.276434999
"59","15A",632527.897168125
"60","15B",792312.699650233
"61","15C",68685.0609534417
"62","16E",230496.007280853
"63","16F",453158.408666059
"64","16G",322241.7034313
"65","17A",430041.680844675
"66","17B",49487.6765983023
"67","17C",203291.36840747
