"","WRU","2040"
"1","1A",302619.814199202
"2","1Ba",2041381.00018489
"3","1Bb",457701.317005923
"4","1C",756532.690863668
"5","1E2",537786.132275013
"6","1F",519392.337322625
"7","1G",307017.293611605
"8","1H",540401.479571225
"9","1K",306845.642655525
"10","1L",124106.489474563
"11","1M",111744.816041765
"12","1N",41090.6505485922
"13","1O",199170.603908322
"14","1P",137060.234193749
"15","1R",659428.942347713
"16","1S",359756.178122343
"17","1T",282259.988079107
"18","2A",398788.301363132
"19","2B",1535497.26356857
"20","2C",429246.506709648
"21","2D",210184.516910018
"22","3A",371638.99806666
"23","3B",52451.5166809294
"24","3C",103776.148085198
"25","3D",289136.380591425
"26","3E",336019.840351294
"27","3F",202281.42174446
"28","4A",172197.644351901
"29","4B",1402820.98729733
"30","4C",1059321.9030414
"31","4D",1885397.78344134
"32","4E",1186599.22161934
"33","4F",278010.706460487
"34","5C",187596.147912553
"35","5D",955271.890189538
"36","5E",1410229.0481367
"37","5F",416098.999228778
"38","6A",50492.0150901057
"39","6B",62724.8403314206
"40","6C",268669.510066155
"41","6D",505802.459180283
"42","7A",504253.455862594
"43","7B",168063.65670304
"44","7C",102535.724258893
"45","7D",683571.40790039
"46","7E",149930.325883833
"47","7F",161306.053033642
"48","7G",102009.664476036
"49","7H",30231.338486832
"50","8A",88071.3237708114
"51","9A",183313.87945167
"52","9B",276114.629319375
"53","10A",330085.874712802
"54","11A",771646.164155422
"55","14A",1012331.94751155
"56","14B",1117540.42712403
"57","14C",699517.379145723
"58","14D",93410.1536858096
"59","15A",542013.901806687
"60","15B",500885.03099737
"61","15C",46885.6269219655
"62","16E",169061.65154819
"63","16F",241793.801520232
"64","16G",154228.427259959
"65","17A",141628.228620338
"66","17B",32411.8174871849
"67","17C",152591.263370669
