"","WRU","2070"
"1","1A",364033.359623971
"2","1Ba",8108435.18478208
"3","1Bb",605874.43217754
"4","1C",2092292.15812365
"5","1E2",1650732.33517582
"6","1F",793224.816737309
"7","1G",693550.660976781
"8","1H",1067045.76265587
"9","1K",302749.501306115
"10","1L",251962.161371244
"11","1M",118292.972079698
"12","1N",34482.8415667582
"13","1O",171657.314394996
"14","1P",124275.964947214
"15","1R",1090708.53726743
"16","1S",416183.897555181
"17","1T",641611.957727137
"18","2A",437199.23099226
"19","2B",2683297.95101885
"20","2C",831216.47901291
"21","2D",299269.205755964
"22","3A",861297.659549712
"23","3B",44940.6578606363
"24","3C",88884.9543764144
"25","3D",282736.208422692
"26","3E",356707.084662876
"27","3F",281771.724869173
"28","4A",188770.337202517
"29","4B",2250931.45673671
"30","4C",2289689.78014248
"31","4D",6042614.07677226
"32","4E",3882853.34416043
"33","4F",502207.169610395
"34","5C",209209.645447748
"35","5D",1409505.92016357
"36","5E",2021569.13834439
"37","5F",557771.89696084
"38","6A",69965.7564086234
"39","6B",53014.7210496115
"40","6C",980362.266989246
"41","6D",611852.162856745
"42","7A",803834.966109674
"43","7B",141899.699914694
"44","7C",89018.9408449591
"45","7D",1966249.16723258
"46","7E",126825.037361995
"47","7F",452038.839162652
"48","7G",99239.2774888122
"49","7H",25723.5349701095
"50","8A",104615.080363937
"51","9A",212855.509992765
"52","9B",412353.827080716
"53","10A",521387.706756784
"54","11A",820871.118014445
"55","14A",3136608.47301832
"56","14B",1485183.19586265
"57","14C",1145597.78997715
"58","14D",84178.9840472131
"59","15A",617078.906999534
"60","15B",725538.861168304
"61","15C",51387.7585364925
"62","16E",160782.594765734
"63","16F",390643.952108163
"64","16G",303551.621769559
"65","17A",452654.758853181
"66","17B",37856.3030283413
"67","17C",138602.930605291
