"","WRU","2050"
"1","1A",321571.045457541
"2","1Ba",4383028.76916081
"3","1Bb",505755.563589026
"4","1C",1264786.88890459
"5","1E2",963581.261643103
"6","1F",615271.208459547
"7","1G",451777.57334333
"8","1H",734756.368868762
"9","1K",298474.367942864
"10","1L",171469.775807366
"11","1M",112270.488547632
"12","1N",37539.7735997632
"13","1O",185473.501911589
"14","1P",130176.161041907
"15","1R",815862.85732515
"16","1S",376512.790062931
"17","1T",416270.46894521
"18","2A",406460.113434686
"19","2B",1952821.36934199
"20","2C",577527.057443353
"21","2D",240860.314524619
"22","3A",554448.09652311
"23","3B",48924.6838170513
"24","3C",96764.6780787014
"25","3D",282517.959205552
"26","3E",339129.829449386
"27","3F",229845.187759976
"28","4A",176012.265231059
"29","4B",1707904.43635428
"30","4C",1518351.50334312
"31","4D",3472761.90930675
"32","4E",2216963.44577205
"33","4F",360503.459180852
"34","5C",194091.150074825
"35","5D",1121769.32616804
"36","5E",1628691.45165936
"37","5F",463339.445065323
"38","6A",60667.1139621472
"39","6B",57714.5192416412
"40","6C",639397.018977042
"41","6D",543533.689500395
"42","7A",611016.098114364
"43","7B",154479.223926291
"44","7C",95334.9017995594
"45","7D",1170316.16707863
"46","7E",138068.18034629
"47","7F",271091.68295624
"48","7G",99269.0286095833
"49","7H",28003.9472740572
"50","8A",93242.7821092458
"51","9A",192130.090798024
"52","9B",324477.600422939
"53","10A",399208.579676056
"54","11A",778385.895699085
"55","14A",1826153.06841591
"56","14B",1238157.83454286
"57","14C",859152.36746677
"58","14D",87791.3257577699
"59","15A",562469.506177661
"60","15B",580247.364717303
"61","15C",47929.894706237
"62","16E",162331.191664581
"63","16F",294053.780542287
"64","16G",209447.6225421
"65","17A",260182.300483061
"66","17B",33876.6942260591
"67","17C",144076.423793636
