"","WRU","2040"
"1","1A",283362.654438527
"2","1Ba",2904429.78797212
"3","1Bb",435515.613462087
"4","1C",913457.494911951
"5","1E2",678656.67107315
"6","1F",512728.354311838
"7","1G",342662.997690484
"8","1H",575840.36487505
"9","1K",273705.84569246
"10","1L",133486.826860195
"11","1M",101610.148738393
"12","1N",35518.761844289
"13","1O",175096.416737556
"14","1P",121737.191558267
"15","1R",668055.431284916
"16","1S",334834.292563146
"17","1T",314949.266129606
"18","2A",365145.881169611
"19","2B",1576930.941786
"20","2C",454898.325342764
"21","2D",204143.682693362
"22","3A",417452.33204969
"23","3B",46290.7478849283
"24","3C",91555.2021178276
"25","3D",260238.8794107
"26","3E",307115.743654009
"27","3F",195967.791623124
"28","4A",158290.034463881
"29","4B",1408328.69422356
"30","4C",1164182.74390504
"31","4D",2417474.47481168
"32","4E",1535571.69232424
"33","4F",289025.647114949
"34","5C",174228.991782174
"35","5D",945986.450734377
"36","5E",1381048.17332117
"37","5F",398165.321190655
"38","6A",53066.7889770027
"39","6B",54607.368952388
"40","6C",485337.660502374
"41","6D",480003.303972715
"42","7A",504282.911645806
"43","7B",146162.596160442
"44","7C",89761.8414905491
"45","7D",836024.812344206
"46","7E",130635.066400208
"47","7F",194698.32606185
"48","7G",91473.1723089732
"49","7H",26496.3114971278
"50","8A",82450.026449906
"51","9A",170715.409003001
"52","9B",272216.999137728
"53","10A",330630.771226166
"54","11A",704253.994670963
"55","14A",1283680.17484454
"56","14B",1065616.26906612
"57","14C",704410.469729986
"58","14D",81988.4070887498
"59","15A",501623.262407958
"60","15B",490400.34205315
"61","15C",43108.9123081577
"62","16E",150039.47261334
"63","16F",241532.752067888
"64","16G",164335.426706736
"65","17A",181138.458728749
"66","17B",30001.812362198
"67","17C",134414.676770688
