"","WRU","2040"
"1","1A",225462.14122573
"2","1Ba",2310957.15927038
"3","1Bb",346525.137947256
"4","1C",726807.434704392
"5","1E2",539984.305561099
"6","1F",407960.719971276
"7","1G",272645.433452167
"8","1H",458176.826538508
"9","1K",217778.543067749
"10","1L",106210.981297536
"11","1M",80847.7804525356
"12","1N",28261.0851696774
"13","1O",139318.334313406
"14","1P",96862.1920622187
"15","1R",531549.252779689
"16","1S",266416.394636212
"17","1T",250594.545506091
"18","2A",290534.307138296
"19","2B",1254710.9594697
"20","2C",361947.30935981
"21","2D",162430.267821723
"22","3A",332152.793034199
"23","3B",36831.9925618147
"24","3C",72847.397532426
"25","3D",207063.330664226
"26","3E",244361.67640727
"27","3F",155924.987745492
"28","4A",125946.061144275
"29","4B",1120559.81252856
"30","4C",926301.087182176
"31","4D",1923503.20573445
"32","4E",1221802.79155611
"33","4F",229967.994565482
"34","5C",138628.153621777
"35","5D",752689.625684812
"36","5E",1098853.62044247
"37","5F",316806.765563354
"38","6A",42223.4604443412
"39","6B",43449.2483124598
"40","6C",386166.864777997
"41","6D",381922.498049728
"42","7A",401240.967691129
"43","7B",116296.665816534
"44","7C",71420.4807856675
"45","7D",665196.848344974
"46","7E",103941.932108056
"47","7F",154914.914171239
"48","7G",72782.1291765724
"49","7H",21082.2247733424
"50","8A",65602.7157955397
"51","9A",135832.513361797
"52","9B",216593.917027772
"53","10A",263071.79317831
"54","11A",560351.235777005
"55","14A",1021381.16999271
"56","14B",847875.053448679
"57","14C",560475.736850249
"58","14D",65235.420213755
"59","15A",399124.770351513
"60","15B",390195.070638091
"61","15C",34300.3124013569
"62","16E",119381.366105433
"63","16F",192179.494466048
"64","16G",130756.175144661
"65","17A",144125.786407915
"66","17B",23871.4336573998
"67","17C",106949.241646332
