"","WRU","2050"
"1","1A",228276.831708468
"2","1Ba",3111424.16207063
"3","1Bb",359025.726032693
"4","1C",897846.841676396
"5","1E2",684027.004430157
"6","1F",436768.687142719
"7","1G",320707.838170405
"8","1H",521588.804661671
"9","1K",211880.964895455
"10","1L",121722.949923409
"11","1M",79698.5670390475
"12","1N",26648.7320629231
"13","1O",131663.917293013
"14","1P",92409.4446271337
"15","1R",579164.670860122
"16","1S",267278.876232118
"17","1T",295502.050265587
"18","2A",288537.879693083
"19","2B",1386268.71516738
"20","2C",409974.867773287
"21","2D",170981.90512265
"22","3A",393591.580847062
"23","3B",34730.6515728821
"24","3C",68691.3034863398
"25","3D",200553.83081255
"26","3E",240741.461737273
"27","3F",163162.490083193
"28","4A",124947.575486496
"29","4B",1212407.09495896
"30","4C",1077847.27144677
"31","4D",2465244.0461097
"32","4E",1573777.87312832
"33","4F",255914.172756787
"34","5C",137781.413005381
"35","5D",796321.535477515
"36","5E",1156175.38749898
"37","5F",328915.376442619
"38","6A",43066.3669971951
"39","6B",40970.3792607755
"40","6C",453895.114042841
"41","6D",385843.660410057
"42","7A",433748.074146512
"43","7B",109661.70153318
"44","7C",67676.3339156203
"45","7D",830783.976865717
"46","7E",98011.8308051019
"47","7F",192442.547856252
"48","7G",70469.0912444496
"49","7H",19879.4404924486
"50","8A",66191.1806827261
"51","9A",136389.296523057
"52","9B",230340.137679187
"53","10A",283390.15988592
"54","11A",552560.528112858
"55","14A",1296349.41675862
"56","14B",878943.4051522
"57","14C",609895.025777997
"58","14D",62321.3007522945
"59","15A",399285.813588432
"60","15B",411905.961612002
"61","15C",34024.470034541
"62","16E",115235.655646618
"63","16F",208742.880026781
"64","16G",148682.664394112
"65","17A",184698.197511801
"66","17B",24048.384944305
"67","17C",102276.963782481
