"","WRU","2030"
"1","1A",210197.233265065
"2","1Ba",1593161.85923497
"3","1Bb",317116.892018631
"4","1C",559772.816032054
"5","1E2",403541.270520945
"6","1F",363087.717806633
"7","1G",221697.907609001
"8","1H",385186.443354358
"9","1K",209302.030371676
"10","1L",88699.9920071841
"11","1M",76944.257003236
"12","1N",27777.2794690171
"13","1O",136719.459271465
"14","1P",94423.0927641538
"15","1R",465749.155442825
"16","1S",250170.805268236
"17","1T",203234.823938626
"18","2A",274954.63595868
"19","2B",1085450.91449758
"20","2C",305789.980821667
"21","2D",146686.998113882
"22","3A",267985.773432056
"23","3B",36201.4601530494
"24","3C",71600.31208309
"25","3D",199660.135100086
"26","3E",232670.052609737
"27","3F",141519.078608383
"28","4A",119289.085658624
"29","4B",988052.508981758
"30","4C",761752.359903315
"31","4D",1416638.50594132
"32","4E",894123.804336434
"33","4F",197611.357702138
"34","5C",131117.323648997
"35","5D",676823.496749637
"36","5E",992735.253957023
"37","5F",289425.856901145
"38","6A",39134.9967620459
"39","6B",42705.4341956562
"40","6C",314257.95083411
"41","6D",356680.467266842
"42","7A",354070.867474546
"43","7B",114305.765834425
"44","7C",69957.3643350618
"45","7D",505740.434713834
"46","7E",102162.534764533
"47","7F",118532.902871149
"48","7G",70198.0922811498
"49","7H",20721.3150182878
"50","8A",61328.7869732037
"51","9A",127464.544069684
"52","9B",193896.476862771
"53","10A",232868.602331455
"54","11A",533169.253301434
"55","14A",761472.081240396
"56","14B",775568.533781665
"57","14C",491667.607149147
"58","14D",63531.0668996277
"59","15A",375609.683326569
"60","15B",351526.494029662
"61","15C",32490.1901688397
"62","16E",115398.761149803
"63","16F",168863.884275958
"64","16G",110049.768617413
"65","17A",106161.26476486
"66","17B",22343.2884020526
"67","17C",104078.511538194
