"","WRU","2070"
"1","1A",207834.740019189
"2","1Ba",4629285.94190427
"3","1Bb",345907.187874852
"4","1C",1194536.13551235
"5","1E2",942439.813099466
"6","1F",452869.691082526
"7","1G",395963.502401586
"8","1H",609200.15514918
"9","1K",172846.423100074
"10","1L",143850.794681097
"11","1M",67536.0887293227
"12","1N",19687.021131606
"13","1O",98002.9780720317
"14","1P",70951.9117657852
"15","1R",622709.756443037
"16","1S",237608.64697758
"17","1T",366310.527635807
"18","2A",249606.762805361
"19","2B",1531954.47872069
"20","2C",474559.965492865
"21","2D",170859.44455611
"22","3A",491733.988971485
"23","3B",25657.6211503114
"24","3C",50746.3972947271
"25","3D",161420.389614522
"26","3E",203652.007097645
"27","3F",160869.746911055
"28","4A",107773.183027189
"29","4B",1285106.83401163
"30","4C",1307234.82256631
"31","4D",3449862.84945713
"32","4E",2216807.32926388
"33","4F",286721.238029226
"34","5C",119442.438492629
"35","5D",804718.268271044
"36","5E",1154158.78573398
"37","5F",318444.38199919
"38","6A",39945.0064379654
"39","6B",30267.2832976069
"40","6C",559710.623632994
"41","6D",349320.006654159
"42","7A",458927.270124406
"43","7B",81013.6943830252
"44","7C",50822.8928689266
"45","7D",1122575.38678389
"46","7E",72407.2341473527
"47","7F",258079.033815253
"48","7G",56657.9097614526
"49","7H",14686.1383105917
"50","8A",59727.0762036926
"51","9A",121523.943963426
"52","9B",235421.969236381
"53","10A",297671.83525637
"54","11A",468653.574599748
"55","14A",1790759.51802878
"56","14B",847924.118702987
"57","14C",654047.244575475
"58","14D",48059.6541985993
"59","15A",352304.067564213
"60","15B",414226.275108416
"61","15C",29338.4129550016
"62","16E",91794.3584848263
"63","16F",223027.316972012
"64","16G",173304.373573769
"65","17A",258430.675559083
"66","17B",21613.0049043487
"67","17C",79131.4975858742
