"","2020","2030","2040","2050","2060","2070"
"1A",162613.469115465,210197.233265065,225462.14122573,228276.831708468,220985.250437385,207834.740019189
"1Ba",690427.313384473,1593161.85923497,2310957.15927038,3111424.16207063,3907510.38961675,4629285.94190427
"1Bb",219424.610226389,317116.892018631,346525.137947256,359025.726032693,336259.853652121,345907.187874852
"1C",301477.032797813,559772.816032054,726807.434704392,897846.841676396,1057131.36250466,1194536.13551235
"1E2",185212.170488834,403541.270520945,539984.305561099,684027.004430157,821517.991429973,942439.813099466
"1F",233886.409988927,363087.717806633,407960.719971276,436768.687142719,450338.979722104,452869.691082526
"1G",128777.333458028,221697.907609001,272645.433452167,320707.838170405,362290.781810573,395963.502401586
"1H",235011.320552642,385186.443354358,458176.826538508,521588.804661671,571880.642484855,609200.15514918
"1K",166994.892919198,209302.030371676,217778.543067749,211880.964895455,195113.720150816,172846.423100074
"1L",55460.6043262465,88699.9920071841,106210.981297536,121722.949923409,134297.949068444,143850.794681097
"1M",65882.8509324614,76944.257003236,80847.7804525356,79698.5670390475,74647.8534461584,67536.0887293227
"1N",22874.6343311071,27777.2794690171,28261.0851696774,26648.7320629231,23516.9216447835,19687.021131606
"1O",110129.035738631,136719.459271465,139318.334313406,131663.917293013,116556.846870235,98002.9780720317
"1P",74734.644235061,94423.0927641538,96862.1920622187,92409.4446271337,82886.9141418445,70951.9117657852
"1R",361841.308522748,465749.155442825,531549.252779689,579164.670860122,608222.30974993,622709.756443037
"1S",188085.74395588,250170.805268236,266416.394636212,267278.876232118,255882.591335898,237608.64697758
"1T",120905.952897072,203234.823938626,250594.545506091,295502.050265587,334548.287785355,366310.527635807
"2A",194859.480248431,274954.63595868,290534.307138296,288537.879693083,270309.098086607,249606.762805361
"2B",752041.695034191,1085450.91449758,1254710.9594697,1386268.71516738,1407567.93993198,1531954.47872069
"2C",206135.504049823,305789.980821667,361947.30935981,409974.867773287,320179.247992582,474559.965492865
"2D",109364.35183626,146686.998113882,162430.267821723,170981.90512265,173091.428333659,170859.44455611
"3A",193963.823070399,267985.773432056,332152.793034199,393591.580847062,447507.800458886,491733.988971485
"3B",28823.3465655409,36201.4601530494,36831.9925618147,34730.6515728821,30649.038403285,25657.6211503114
"3C",60955.7742610543,71600.31208309,72847.397532426,68691.3034863398,60618.5690087293,50746.3972947271
