"","WRU","2030"
"1","1A",276978.839988369
"2","1Ba",1334687.27218193
"3","1Bb",412090.001549023
"4","1C",579520.839921865
"5","1E2",396790.643034498
"6","1F",457801.076982355
"7","1G",249381.698609034
"8","1H",453297.932584136
"9","1K",286184.911847735
"10","1L",103462.423444312
"11","1M",103735.888811819
"12","1N",38859.8432929253
"13","1O",189208.27883582
"14","1P",129715.43809227
"15","1R",573473.833206923
"16","1S",331350.184442775
"17","1T",227230.549342789
"18","2A",368716.88423291
"19","2B",1321443.82567532
"20","2C",361542.282717214
"21","2D",187485.870032976
"22","3A",297473.454798537
"23","3B",49989.4041634233
"24","3C",98891.9517290765
"25","3D",271503.950583358
"26","3E",312631.57625566
"27","3F",181255.466945872
"28","4A",159548.176038062
"29","4B",1226811.76318084
"30","4C",869475.640762272
"31","4D",1359921.22700452
"32","4E",848308.530088357
"33","4F",238074.455880783
"34","5C",175457.108858386
"35","5D",858799.170642242
"36","5E",1273655.07648354
"37","5F",376255.716110943
"38","6A",51452.3585372999
"39","6B",59476.6823641012
"40","6C",353437.530381139
"41","6D",472432.670314421
"42","7A",441309.224895054
"43","7B",159299.334207155
"44","7C",97046.8562446655
"45","7D",513276.015978257
"46","7E",142209.972190206
"47","7F",121671.349497111
"48","7G",95705.7457325851
"49","7H",28737.660997495
"50","8A",80836.1228268032
"51","9A",168828.128052165
"52","9B",244299.888414947
"53","10A",289665.349389343
"54","11A",716994.987028019
"55","14A",744737.969871843
"56","14B",1006647.323691
"57","14C",609142.888585104
"58","14D",87922.3039658815
"59","15A",499632.375629143
"60","15B",446253.07493505
"61","15C",43449.2189245241
"62","16E",158441.054890932
"63","16F",210404.39554436
"64","16G",129629.346093856
"65","17A",102013.547997049
"66","17B",29699.3350712003
"67","17C",143693.808709822
