"","WRU","2040"
"1","1A",264424.768369465
"2","1Ba",1355836.6976583
"3","1Bb",357707.923451437
"4","1C",528326.981826782
"5","1E2",326953.348791122
"6","1F",379031.558897661
"7","1G",221711.617342755
"8","1H",396627.615365647
"9","1K",266937.02115941
"10","1L",92764.8926551836
"11","1M",105924.957549963
"12","1N",36410.1140231714
"13","1O",175846.452048935
"14","1P",119553.300709734
"15","1R",623100.338887769
"16","1S",301056.840156019
"17","1T",204314.818504333
"18","2A",313183.870089082
"19","2B",1274895.2104916
"20","2C",350360.73437956
"21","2D",181016.905087277
"22","3A",349482.846562713
"23","3B",45878.8246041723
"24","3C",97024.794677113
"25","3D",262319.516701758
"26","3E",285477.14232307
"27","3F",193936.948389892
"28","4A",145599.649231767
"29","4B",1220242.00342457
"30","4C",947964.42264299
"31","4D",1611855.63135609
"32","4E",1086271.69852448
"33","4F",242072.170787871
"34","5C",174106.521891132
"35","5D",864105.017706156
"36","5E",1198058.37275026
"37","5F",340250.46337583
"38","6A",49214.8238019883
"39","6B",51286.1430407355
"40","6C",404802.335042953
"41","6D",456933.550820128
"42","7A",458599.570321232
"43","7B",155201.195856094
"44","7C",93868.0836096987
"45","7D",642342.952499628
"46","7E",130309.993279712
"47","7F",145833.37828906
"48","7G",94390.2874044147
"49","7H",27721.9251677947
"50","8A",82920.1461915716
"51","9A",148274.715278087
"52","9B",272356.334446073
"53","10A",342996.069195678
"54","11A",659482.820588576
"55","14A",679572.576457977
"56","14B",900716.73742644
"57","14C",523033.106216572
"58","14D",76326.475112915
"59","15A",490899.219166448
"60","15B",477916.701362651
"61","15C",38145.7517528568
"62","16E",161110.177975656
"63","16F",210434.13745943
"64","16G",118905.823465345
"65","17A",128316.73962307
"66","17B",28198.0449913554
"67","17C",145866.111056686
