"","WRU","2070"
"1","1A",348386.222816902
"2","1Ba",2837161.37851179
"3","1Bb",475358.739733798
"4","1C",867797.681303024
"5","1E2",546971.094946861
"6","1F",493570.479842766
"7","1G",347584.228232995
"8","1H",587819.215922221
"9","1K",330907.031903503
"10","1L",133852.1781675
"11","1M",134119.641865486
"12","1N",44427.6621336862
"13","1O",217106.907086634
"14","1P",148624.989680581
"15","1R",977408.512381224
"16","1S",375067.976985753
"17","1T",303942.692743301
"18","2A",396059.074925748
"19","2B",1914106.13944857
"20","2C",529962.047534853
"21","2D",252828.317062311
"22","3A",614057.835847527
"23","3B",55981.3938145563
"24","3C",118389.763937548
"25","3D",325665.239403725
"26","3E",348339.531774863
"27","3F",273879.906858492
"28","4A",177660.856976645
"29","4B",1775960.09021737
"30","4C",1494130.91704927
"31","4D",3057316.16391866
"32","4E",2119870.04330444
"33","4F",339493.667174816
"34","5C",226618.117756698
"35","5D",1201518.67466259
"36","5E",1601426.98728221
"37","5F",447031.93633152
"38","6A",64695.3926939583
"39","6B",64416.7666291357
"40","6C",679351.883522034
"41","6D",596718.401450784
"42","7A",661682.066908777
"43","7B",189376.674944878
"44","7C",114537.942141281
"45","7D",1152165.77828574
"46","7E",159004.401193587
"47","7F",261947.819781236
"48","7G",115175.135939695
"49","7H",33826.3244008763
"50","8A",109614.471148388
"51","9A",181551.511822165
"52","9B",418086.098769844
"53","10A",491025.447760799
"54","11A",835936.146595545
"55","14A",1187271.54697418
"56","14B",1202812.3857007
"57","14C",712057.327103039
"58","14D",93133.6516189575
"59","15A",612751.515706858
"60","15B",692591.031347485
"61","15C",46545.4895289952
"62","16E",203581.353908673
"63","16F",294897.561861474
"64","16G",174050.875704405
"65","17A",251907.124204636
"66","17B",34407.2863445884
"67","17C",183640.275879691
