"","WRU","2030"
"1","1A",220291.99365158
"2","1Ba",969041.759503603
"3","1Bb",297384.481560726
"4","1C",413920.568855286
"5","1E2",254635.451461792
"6","1F",316658.690687228
"7","1G",176234.498241289
"8","1H",320463.184693153
"9","1K",225560.346089765
"10","1L",75505.6089629044
"11","1M",89076.7581081224
"12","1N",30874.4827582091
"13","1O",148723.74879277
"14","1P",100957.531392528
"15","1R",495206.310755909
"16","1S",254106.619863272
"17","1T",164906.203458786
"18","2A",263443.86844819
"19","2B",1026310.88314725
"20","2C",281444.703719735
"21","2D",148615.566573657
"22","3A",267691.618817002
"23","3B",38903.6130288094
"24","3C",82273.5780787856
"25","3D",221584.915328503
"26","3E",242074.472039229
"27","3F",158763.823161618
"28","4A",123463.329015795
"29","4B",990881.641108502
"30","4C",752301.035106906
"31","4D",1200225.72377272
"32","4E",799780.710075378
"33","4F",198530.044103503
"34","5C",145471.295506102
"35","5D",710256.234405994
"36","5E",994594.901035459
"37","5F",283654.22524431
"38","6A",41023.1735246659
"39","6B",43208.1837386913
"40","6C",314937.657619476
"41","6D",381480.842546837
"42","7A",373281.329300642
"43","7B",131605.099389553
"44","7C",79596.7997871849
"45","7D",488416.791826725
"46","7E",110498.244180217
"47","7F",110830.834906013
"48","7G",80039.6098215019
"49","7H",23507.2074809415
"50","8A",69024.9169553372
"51","9A",125635.991380064
"52","9B",217849.770372331
"53","10A",279774.413902594
"54","11A",554447.151063026
"55","14A",521562.795213699
"56","14B",747927.658735375
"57","14C",432233.152051213
"58","14D",64722.1394195557
"59","15A",414164.002482134
"60","15B",388540.708552087
"61","15C",32346.2419108864
"62","16E",135547.340426289
"63","16F",172617.250236561
"64","16G",96404.1911715505
"65","17A",94246.2921540737
"66","17B",23910.9402195732
"67","17C",122825.627519854
