"","WRU","2070"
"1","1A",586059.839679681
"2","1Ba",2829133.29360271
"3","1Bb",792127.486778782
"4","1C",1142219.96411514
"5","1E2",705195.589553833
"6","1F",841042.45967171
"7","1G",482107.012147208
"8","1H",868146.62990155
"9","1K",595107.590348284
"10","1L",203653.183246977
"11","1M",235677.986083179
"12","1N",81290.9570355564
"13","1O",392178.217685934
"14","1P",266460.787018023
"15","1R",1354825.08009339
"16","1S",670862.000125289
"17","1T",447017.747890472
"18","2A",696900.683207261
"19","2B",2786389.66235966
"20","2C",765083.697553575
"21","2D",398798.947766051
"22","3A",748868.385902584
"23","3B",102431.251458243
"24","3C",216622.182732623
"25","3D",584732.63269496
"26","3E",637369.881371698
"27","3F",426759.992575976
"28","4A",325072.720542026
"29","4B",2676329.01586568
"30","4C",2059992.43416058
"31","4D",3416172.56666037
"32","4E",2292294.86347961
"33","4F",533077.554235458
"34","5C",386346.216739049
"35","5D",1904614.23714161
"36","5E",2651483.49199524
"37","5F",754327.012653888
"38","6A",109102.146315131
"39","6B",114196.351095086
"40","6C",872746.696853638
"41","6D",1013615.74747751
"42","7A",1006801.9958486
"43","7B",346509.591159821
"44","7C",209574.360313994
"45","7D",1372466.15789175
"46","7E",290936.305713003
"47","7F",311534.287751399
"48","7G",210740.257668126
"49","7H",61893.2922140256
"50","8A",183719.581813849
"51","9A",330940.331147561
"52","9B",593721.750686646
"53","10A",753654.075390818
"54","11A",1467164.7530245
"55","14A",1457314.47895813
"56","14B",1993616.2666806
"57","14C",1155387.31071063
"58","14D",170410.128799438
"59","15A",1093702.56549209
"60","15B",1048702.06290407
"61","15C",85166.0246164404
"62","16E",358531.518384271
"63","16F",463443.807591683
"64","16G",260627.159474058
"65","17A",270528.860422134
"66","17B",62956.2997347751
"67","17C",324721.220231016
