"","WRU","2060"
"1","1A",496714.686814632
"2","1Ba",2267716.82992029
"3","1Bb",670863.294760073
"4","1C",946825.986251831
"5","1E2",583299.798681259
"6","1F",713544.8458304
"7","1G",401740.680945968
"8","1H",727717.508569109
"9","1K",506957.250502726
"10","1L",171165.83155122
"11","1M",200422.227089235
"12","1N",69336.876050368
"13","1O",334195.150896542
"14","1P",226939.398823288
"15","1R",1128908.28662186
"16","1S",571261.020695448
"17","1T",374566.480127335
"18","2A",592709.320251265
"19","2B",2332579.16829231
"20","2C",639982.657318771
"21","2D",336226.959995523
"22","3A",615683.269214332
"23","3B",87368.4264685586
"24","3C",184767.236381901
"25","3D",498059.718020558
"26","3E",543642.712001335
"27","3F",359426.434632673
"28","4A",277269.794318789
"29","4B",2247486.79514751
"30","4C",1715588.74701572
"31","4D",2779768.15256859
"32","4E",1857559.62333679
"33","4F",449264.107057452
"34","5C",327790.697850428
"35","5D",1606449.14984083
"36","5E",2244420.98123147
"37","5F",639485.01945824
"38","6A",92487.5854408648
"39","6B",97177.5874171169
"40","6C",721616.167142868
"41","6D",859746.075117741
"42","7A",846198.955634713
"43","7B",295554.308431625
"44","7C",178755.816754849
"45","7D",1125360.42415905
"46","7E",248153.241886396
"47","7F",255396.871049906
"48","7G",179750.264991451
"49","7H",52791.6961928727
"50","8A",155666.218565632
"51","9A",282197.541663298
"52","9B",495872.116126418
"53","10A",633915.231127748
"54","11A",1247574.4503384
"55","14A",1199000.29851151
"56","14B",1687695.35655524
"57","14C",976406.382393288
"58","14D",145350.80430603
"59","15A",931179.46529647
"60","15B",881035.495127979
"61","15C",72642.1037023821
"62","16E",304948.618435868
"63","16F",390606.658491006
"64","16G",218741.205916872
"65","17A",219028.366952896
"66","17B",53698.3852121588
"67","17C",276274.966754959
