"","WRU","2040"
"1","1A",209791.394746967
"2","1Ba",2303262.48010588
"3","1Bb",290131.31372806
"4","1C",632983.967338562
"5","1E2",401678.844050407
"6","1F",306523.349697504
"7","1G",241774.845844434
"8","1H",393701.796220739
"9","1K",198407.920735302
"10","1L",88405.5769335603
"11","1M",80137.3270995874
"12","1N",26496.3865032531
"13","1O",128996.321342673
"14","1P",88343.0109571672
"15","1R",576080.026529211
"16","1S",221958.486814857
"17","1T",176354.273127556
"18","2A",237362.931384432
"19","2B",1232700.79867832
"20","2C",343517.90513739
"21","2D",156200.845427439
"22","3A",350224.379837327
"23","3B",33125.6560553052
"24","3C",70064.9870627224
"25","3D",192985.754297972
"26","3E",206412.622634964
"27","3F",162018.489104358
"28","4A",105314.079881888
"29","4B",1065966.92737518
"30","4C",998957.089419792
"31","4D",2178571.66817434
"32","4E",1523070.69041061
"33","4F",216293.463037729
"34","5C",133344.278516651
"35","5D",717130.903439283
"36","5E",1054078.93787531
"37","5F",291423.469959054
"38","6A",39450.4930169233
"39","6B",38697.34285495
"40","6C",442868.322761536
"41","6D",361185.15659093
"42","7A",417725.328762263
"43","7B",112679.043395519
"44","7C",68088.6390287163
"45","7D",772221.556002438
"46","7E",94537.3830787467
"47","7F",160350.247959135
"48","7G",68355.6427380861
"49","7H",20068.0152204212
"50","8A",67343.3179897661
"51","9A",113077.606590835
"52","9B",244355.340886056
"53","10A",285478.906057335
"54","11A",496866.675237283
"55","14A",892658.654071808
"56","14B",747474.548701119
"57","14C",446556.143663243
"58","14D",55471.4114837646
"59","15A",364247.785293499
"60","15B",409543.577698525
"61","15C",27586.3502914301
"62","16E",124909.589629918
"63","16F",184863.290339911
"64","16G",119098.608595785
"65","17A",173805.873864889
"66","17B",20477.0018729591
"67","17C",110686.321451373
