"","WRU","2070"
"1","1A",173864.227825455
"2","1Ba",5349624.36057924
"3","1Bb",254497.593309759
"4","1C",1154654.00120575
"5","1E2",917962.519029934
"6","1F",359108.152905404
"7","1G",375936.211840272
"8","1H",576062.122314427
"9","1K",122282.721416487
"10","1L",138322.972798613
"11","1M",51384.2434306968
"12","1N",13660.2498548357
"13","1O",66260.8667511084
"14","1P",49408.0258090071
"15","1R",601204.625740212
"16","1S",169313.312622319
"17","1T",388374.915060333
"18","2A",179958.713031246
"19","2B",1576874.74757643
"20","2C",445451.811109668
"21","2D",150389.931963539
"22","3A",501998.348268259
"23","3B",17047.172961667
"24","3C",33741.1149177077
"25","3D",107125.866714028
"26","3E",144409.138806561
"27","3F",147626.211341738
"28","4A",73630.1241984989
"29","4B",1175637.10302294
"30","4C",1222293.52588592
"31","4D",3863914.74005879
"32","4E",2466607.83600832
"33","4F",225828.77630601
"34","5C",97955.9636810156
"35","5D",725467.874299308
"36","5E",1029927.58226572
"37","5F",248707.520051576
"38","6A",32855.6148787308
"39","6B",20693.3856317498
"40","6C",608866.380088879
"41","6D",278068.580003961
"42","7A",407306.460064645
"43","7B",55507.4142736327
"44","7C",34288.0053357652
"45","7D",1235103.10706321
"46","7E",49418.9406271641
"47","7F",271823.590479501
"48","7G",36675.6613903043
"49","7H",9900.88574514912
"50","8A",45949.2942727274
"51","9A",83526.0999544683
"52","9B",235964.485486794
"53","10A",249605.121602104
"54","11A",346020.178685055
"55","14A",1949294.16413049
"56","14B",703846.901282194
"57","14C",569744.881619752
"58","14D",32110.2477682717
"59","15A",248496.88324141
"60","15B",363937.983495178
"61","15C",25396.6266331264
"62","16E",59661.7071434851
"63","16F",189614.797678904
"64","16G",158844.935181735
"65","17A",283552.155799961
"66","17B",17891.6997068013
"67","17C",55850.6942532391
