"","WRU","2060"
"1","1A",181502.365208693
"2","1Ba",4686723.9536109
"3","1Bb",275180.717508257
"4","1C",1071676.82255521
"5","1E2",845746.704779858
"6","1F",370983.96062452
"7","1G",355256.797671231
"8","1H",550493.409989962
"9","1K",139996.517889999
"10","1L",131290.388854414
"11","1M",56503.7628675759
"12","1N",16255.4042753395
"13","1O",78923.1788919664
"14","1P",57561.8672783883
"15","1R",580538.122425245
"16","1S",188676.198446431
"17","1T",357858.449412374
"18","2A",200999.803580593
"19","2B",1486533.2766918
"20","2C",427591.123337248
"21","2D",151401.651241234
"22","3A",467111.430303785
"23","3B",20437.2369613748
"24","3C",40445.826134241
"25","3D",125895.300473899
"26","3E",163077.454106446
"27","3F",147015.409272475
"28","4A",84053.0491715186
"29","4B",1156552.13002645
"30","4C",1164896.945458
"31","4D",3439834.12191033
"32","4E",2197261.13732008
"33","4F",230119.848928201
"34","5C",104098.037315663
"35","5D",723275.12551085
"36","5E",1032483.10553693
"37","5F",262033.077898051
"38","6A",34382.3486389303
"39","6B",24686.4416864707
"40","6C",556035.996210057
"41","6D",296273.289105217
"42","7A",404342.90387653
"43","7B",66194.0246744659
"44","7C",40924.3615282648
"45","7D",1110180.45693659
"46","7E",58972.2564042112
"47","7F",247780.313640534
"48","7G",43564.9516411449
"49","7H",11839.8308180627
"50","8A",49541.6225405971
"51","9A",94081.2636654376
"52","9B",227344.258739195
"53","10A",253496.436434822
"54","11A",384537.931349592
"55","14A",1748280.18071739
"56","14B",727756.80220369
"57","14C",567279.337484728
"58","14D",38256.2916355229
"59","15A",278503.290221755
"60","15B",366201.090760659
"61","15C",26467.6207428014
"62","16E",71090.5040529767
"63","16F",190791.14722833
"64","16G",153054.510855431
"65","17A",253815.224777489
"66","17B",18820.5640734133
"67","17C",64888.8232903471
