"","WRU","2030"
"1","1A",211934.723758296
"2","1Ba",1583962.80761642
"3","1Bb",321151.77998774
"4","1C",561229.370993763
"5","1E2",403624.42591756
"6","1F",367287.028537121
"7","1G",223288.002824964
"8","1H",388728.913892592
"9","1K",212424.322886414
"10","1L",89472.122301532
"11","1M",77751.3025165271
"12","1N",28257.8734310253
"13","1O",137784.182849531
"14","1P",95038.2972715581
"15","1R",469510.942582017
"16","1S",251784.148272695
"17","1T",205266.774527339
"18","2A",277847.130145206
"19","2B",1095725.74306447
"20","2C",308476.556288531
"21","2D",148202.711283923
"22","3A",270682.893704525
"23","3B",36351.0024621175
"24","3C",71911.6709180957
"25","3D",200999.291797726
"26","3E",234283.777033791
"27","3F",142666.346589959
"28","4A",120179.572425537
"29","4B",996622.443721838
"30","4C",767690.857520072
"31","4D",1420196.99007835
"32","4E",896032.310393322
"33","4F",199041.722550684
"34","5C",132353.31444649
"35","5D",682642.137142719
"36","5E",1004937.50963223
"37","5F",293352.015895214
"38","6A",39578.154015555
"39","6B",43249.9058388006
"40","6C",316724.524886355
"41","6D",360740.928629071
"42","7A",357720.927819494
"43","7B",115838.357701659
"44","7C",70791.5816818196
"45","7D",508491.349659245
"46","7E",103411.415533654
"47","7F",119539.606141478
"48","7G",70816.9745921037
"49","7H",20897.2841028809
"50","8A",61716.0106512396
"51","9A",128296.718218029
"52","9B",195491.576783668
"53","10A",234529.325812988
"54","11A",537636.419959843
"55","14A",760921.895545922
"56","14B",784657.049828129
"57","14C",496898.770467716
"58","14D",64470.0575163886
"59","15A",378701.992336236
"60","15B",354122.075009885
"61","15C",32725.8223562465
"62","16E",116967.563206894
"63","16F",171288.626483047
"64","16G",110960.851802003
"65","17A",106584.572949924
"66","17B",22618.4910493932
"67","17C",105439.630709645
