"","WRU","2050"
"1","1A",230318.818861708
"2","1Ba",3023059.16016936
"3","1Bb",364212.808582055
"4","1C",883210.316865622
"5","1E2",670518.204861002
"6","1F",439787.568339431
"7","1G",318787.862875801
"8","1H",521289.531521548
"9","1K",216143.024459321
"10","1L",121522.087238184
"11","1M",80687.4942190653
"12","1N",27382.1580252755
"13","1O",132552.393712409
"14","1P",92747.6318481364
"15","1R",586008.509377397
"16","1S",269034.392663898
"17","1T",301477.651135163
"18","2A",291934.711670603
"19","2B",1393057.78055471
"20","2C",411208.039488495
"21","2D",172643.360385305
"22","3A",401744.482673997
"23","3B",34686.9039002324
"24","3C",68637.4615321389
"25","3D",201608.551701837
"26","3E",242263.574091051
"27","3F",164879.111923067
"28","4A",125874.158251875
"29","4B",1225061.24061747
"30","4C",1077354.45840461
"31","4D",2438976.65203039
"32","4E",1556173.41795039
"33","4F",256156.059330864
"34","5C",139458.806600754
"35","5D",804701.823239303
"36","5E",1163809.32403137
"37","5F",331834.64199712
"38","6A",43580.1156734875
"39","6B",41690.402432439
"40","6C",455161.474163223
"41","6D",391238.415386545
"42","7A",437130.129457887
"43","7B",111746.690639123
"44","7C",68743.2654539409
"45","7D",828709.196061855
"46","7E",99621.8659275432
"47","7F",194406.397386319
"48","7G",71048.0370531591
"49","7H",20043.8632933179
"50","8A",66706.5811411374
"51","9A",136824.058859253
"52","9B",234688.322304573
"53","10A",286833.888785142
"54","11A",557577.446561614
"55","14A",1269355.53090978
"56","14B",888310.660293227
"57","14C",613937.247586984
"58","14D",63641.8166402818
"59","15A",402691.59105818
"60","15B",415895.521673302
"61","15C",34264.1436817839
"62","16E",117231.474153547
"63","16F",211747.666919464
"64","16G",148019.545092074
"65","17A",183714.480500604
"66","17B",24378.8696871799
"67","17C",104079.269984511
