"","WRU","2030"
"1","1A",239128.777798345
"2","1Ba",1812444.64145607
"3","1Bb",360764.857020592
"4","1C",636819.938357437
"5","1E2",459084.686625264
"6","1F",413063.107320123
"7","1G",252212.40447481
"8","1H",438203.501292509
"9","1K",238110.359188129
"10","1L",100908.657750948
"11","1M",87534.8635849896
"12","1N",31600.543807013
"13","1O",155537.523895311
"14","1P",107419.486032736
"15","1R",529854.863819273
"16","1S",284604.311386128
"17","1T",231208.062789041
"18","2A",312799.388442807
"19","2B",1234852.36500805
"20","2C",347878.911036093
"21","2D",166876.994715296
"22","3A",304871.334201239
"23","3B",41184.2285836786
"24","3C",81455.3780864119
"25","3D",227141.353336283
"26","3E",264694.755915645
"27","3F",160997.762568528
"28","4A",135708.033651651
"29","4B",1124048.04399081
"30","4C",866599.948089772
"31","4D",1611624.60848886
"32","4E",1017190.99582519
"33","4F",224810.583015966
"34","5C",149164.310323421
"35","5D",769981.475692608
"36","5E",1129375.321638
"37","5F",329262.428271309
"38","6A",44521.5373106769
"39","6B",48583.4095265149
"40","6C",357512.411344618
"41","6D",405773.962737389
"42","7A",402805.1771411
"43","7B",130038.810030714
"44","7C",79586.294995077
"45","7D",575350.542108175
"46","7E",116224.184809314
"47","7F",134847.770405828
"48","7G",79860.1567506067
"49","7H",23573.3964674878
"50","8A",69770.0804907735
"51","9A",145008.762781396
"52","9B",220584.385492579
"53","10A",264920.633533738
"54","11A",606554.662823375
"55","14A",866281.087293619
"56","14B",882317.777963398
"57","14C",559340.73144606
"58","14D",72275.482164691
"59","15A",427308.595824215
"60","15B",399910.595831836
"61","15C",36962.1396329976
"62","16E",131282.24512009
"63","16F",192106.30686909
"64","16G",125197.018185766
"65","17A",120773.299264037
"66","17B",25418.6183085864
"67","17C",118403.87613298
