"","WRU","2030"
"1","1A",273408.637011975
"2","1Ba",1332382.23650317
"3","1Bb",404643.29270124
"4","1C",572805.473304422
"5","1E2",393241.316747689
"6","1F",449537.391322758
"7","1G",245545.874682702
"8","1H",445702.028438545
"9","1K",280506.201093912
"10","1L",101771.645903861
"11","1M",102153.010070078
"12","1N",38014.9252542539
"13","1O",186841.65565402
"14","1P",128247.525746148
"15","1R",566517.101643523
"16","1S",327765.399482865
"17","1T",224291.677614977
"18","2A",363032.365537115
"19","2B",1300744.9347543
"20","2C",356028.888377122
"21","2D",184543.802261158
"22","3A",293639.724916595
"23","3B",49543.9375913759
"24","3C",97989.4562141582
"25","3D",268423.241204721
"26","3E",309036.070807757
"27","3F",179003.98020944
"28","4A",157627.282551352
"29","4B",1210527.86641046
"30","4C",856604.743645369
"31","4D",1346221.32774976
"32","4E",840135.112458266
"33","4F",234911.677889711
"34","5C",173018.867134245
"35","5D",847533.486204857
"36","5E",1249464.55256154
"37","5F",368645.00082397
"38","6A",50601.0418806383
"39","6B",58445.0284508493
"40","6C",348442.860157285
"41","6D",464754.899336022
"42","7A",434181.514484041
"43","7B",156434.511687465
"44","7C",95440.3483893082
"45","7D",507014.773960841
"46","7E",139815.748770841
"47","7F",120048.844453455
"48","7G",94397.5178786257
"49","7H",28358.4014797269
"50","8A",79992.884407735
"51","9A",166888.342862241
"52","9B",241617.748417892
"53","10A",286564.257379381
"54","11A",707684.236979235
"55","14A",739032.339607951
"56","14B",989159.831226357
"57","14C",598846.447112544
"58","14D",86211.5780242796
"59","15A",493187.984204618
"60","15B",441091.95075514
"61","15C",42935.872840896
"62","16E",155506.24629457
"63","16F",206063.688897083
"64","16G",127520.424589683
"65","17A",100908.045558853
"66","17B",29178.5395529829
"67","17C",141137.813378416
