"","2020","2030","2040","2050","2060","2070"
"1A",162613.469115465,244672.342219251,319870.592525958,406536.962407653,496714.686814632,586059.839679681
"1Ba",690427.313384473,925450.803793073,1292245.94098032,1748914.54708338,2267716.82992029,2829133.29360271
"1Bb",219424.610226389,329712.705306386,431366.473225713,548654.38988999,670863.294760073,792127.486778782
"1C",301477.032797813,435081.91336441,582260.381572723,757429.711975098,946825.986251831,1142219.96411514
"1E2",185212.170488834,266136.632170677,357039.892209053,465559.027166367,583299.798681259,705195.589553833
"1F",233886.409988927,352538.644240485,460433.175083537,584594.446901152,713544.8458304,841042.45967171
"1G",128777.333458028,187775.980610698,249835.677803113,323151.281495337,401740.680945968,482107.012147208
"1H",235011.320552642,346563.185523347,458191.445848665,588950.876048401,727717.508569109,868146.62990155
"1K",166994.892919198,253507.909848208,329792.215346194,417038.898622491,506957.250502726,595107.590348284
"1L",55460.6043262465,82192.3136245838,108365.265120586,138905.376208123,171165.83155122,203653.183246977
"1M",65882.8509324614,99715.8919018537,129936.510644129,164590.27715815,200422.227089235,235677.986083179
"1N",22874.6343311071,34800.1079888716,45217.9147273749,57110.0528624952,69336.876050368,81290.9570355564
"1O",110129.035738631,167275.609075815,217544.111463853,275008.123653672,334195.150896542,392178.217685934
"1P",74734.644235061,113406.818233106,147564.800238319,186644.970449127,226939.398823288,266460.787018023
"1R",361841.308522748,527553.605604852,701956.827105949,908010.153637706,1128908.28662186,1354825.08009339
"1S",188085.74395588,285327.278030038,371328.894375205,469749.227582335,571261.020695448,670862.000125289
"1T",120905.952897072,178168.29533577,235651.006170273,303022.444253922,374566.480127335,447017.747890472
"2A",194859.480248431,294978.258801869,384338.996763682,486792.636947245,592709.320251265,696900.683207261
"2B",752041.695034191,1106249.01234223,1464619.23117713,1885212.54737029,2332579.16829231,2786389.66235966
"2C",206135.504049823,302781.344187528,401196.606121212,516828.121506989,639982.657318771,765083.697553575
"2D",109364.35183626,163005.717671704,214227.856727496,273724.545696288,336226.959995523,398798.947766051
"3A",193963.823070399,275268.709869966,371910.40871121,488251.049341977,615683.269214332,748868.385902584
"3B",28823.3465655409,43850.1250298209,56977.1563299894,71961.9306819811,87368.4264685586,102431.251458243
"3C",60955.7742610543,92734.4896925249,120495.609384115,152185.49313965,184767.236381901,216622.182732623
"3D",164040.396507204,248971.658476591,323927.769295692,409670.889798999,498059.718020558,584732.63269496
"3E",179350.858505452,272853.728617136,354535.583239518,447777.083040208,543642.712001335,637369.881371698
"3F",116760.069398488,173698.756105555,228523.131956484,292301.535097425,359426.434632673,426759.992575976
"4A",91472.9002402404,139161.43001293,180820.980428679,228376.205032919,277269.794318789,325072.720542026
"4B",727455.567486561,1076392.56726355,1420402.52027161,1822309.63853211,2247486.79514751,2676329.01586568
"4C",549520.192271693,800368.563115635,1065572.39540647,1379138.576082,1715588.74701572,2059992.43416058
"4D",863856.233875598,1199037.63911686,1640734.73907513,2179944.75264273,2779768.15256859,3416172.56666037
"4E",574061.990409851,789439.028640747,1086047.31680298,1450130.38742065,1857559.62333679,2292294.86347961
"4F",146062.413778067,217551.026584685,286025.077093363,365605.667430758,449264.107057452,533077.554235458
"5C",107448.550344497,161968.862952395,211531.564428947,268563.3274124,327790.697850428,386346.216739049
"5D",522798.230223179,779813.51256752,1024424.56913042,1308375.87175131,1606449.14984083,1904614.23714161
"5E",733638.719857773,1101374.49978438,1441673.14585543,1834610.41585639,2244420.98123147,2651483.49199524
"5F",209415.485254114,315227.420641263,412011.76685757,523515.646365053,639485.01945824,754327.012653888
"6A",30285.6414430904,45584.3355540511,59582.8742844405,75711.5361344743,92487.5854408648,109102.146315131
"6B",31969.8032291047,48442.8949060828,63084.246944322,79856.6237446565,97177.5874171169,114196.351095086
"6C",229019.3636446,328833.214551926,441342.592727661,575725.680181503,721616.167142868,872746.696853638
"6D",281724.248671201,424461.627567758,554501.142172615,704201.095944242,859746.075117741,1013615.74747751
"7A",274184.675263554,406344.602909774,535735.901132047,686715.859476089,846198.955634713,1006801.9958486
"7B",97505.0667619705,148338.408892632,192745.192181587,243436.439336777,295554.308431625,346509.591159821
"7C",58972.5724721344,89717.3641488544,116575.273084132,147234.123545056,178755.816754849,209574.360313994
"7D",353290.247636199,498566.568651199,675771.445533752,889878.618679643,1125360.42415905,1372466.15789175
"7E",81867.1821302983,124547.861738183,161832.67457161,204394.04849726,248153.241886396,290936.305713003
"7F",80158.5735645042,113076.197891296,153301.07242626,201914.874550325,255396.871049906,311534.287751399
"7G",59300.6466469241,90216.4768156229,117223.801300939,148053.211646598,179750.264991451,210740.257668126
"7H",17416.2844182777,26496.0992300527,34428.006700105,43482.4403781565,52791.6961928727,61893.2922140256
"8A",50943.6392937691,76611.6933788003,100186.353430883,127368.061700291,155666.218565632,183719.581813849
"9A",93068.0248491777,141521.982714647,183935.733842762,232372.005603073,282197.541663298,330940.331147561
"9B",159407.12498349,233454.886223137,309849.64453429,399808.429039061,495872.116126418,593721.750686646
"10A",205595.05220389,305122.482576477,401965.905610203,514841.786736373,633915.231127748,753654.075390818
"11A",410058.104769953,620539.020286612,808674.542299194,1024437.63449439,1247574.4503384,1467164.7530245
"14A",378088.054105759,537382.672838211,725424.347923279,951570.628173828,1199000.29851151,1457314.47895813
"14B",551718.265012882,828392.531593245,1084254.5073042,1379656.5501808,1687695.35655524,1993616.2666806
"14C",318518.964134097,476775.568085309,625107.764705164,796802.480178141,976406.382393288,1155387.31071063
"14D",47952.0666236877,72951.4214859009,94790.2563171387,119719.730392456,145350.80430603,170410.128799438
"15A",306530.340982467,464884.145176652,605096.292928968,765592.850078098,931179.46529647,1093702.56549209
"15B",285319.430518972,422509.297839615,557296.52115089,714671.575083548,881035.495127979,1048702.06290407
"15C",23965.0477619694,36458.9982104702,47373.4126611659,59832.4389270548,72642.1037023821,85166.0246164404
"16E",100263.050578386,151795.477778281,197767.933057389,250470.937635122,304948.618435868,358531.518384271
"16F",127003.29176122,189188.420236167,248717.167163424,317894.198272079,390606.658491006,463443.807591683
"16G",70750.9753771612,104577.367325843,138081.474294395,177256.713009908,218741.205916872,260627.159474058
"17A",67607.4684066772,92784.683886528,127795.048343182,170820.149902344,219028.366952896,270528.860422134
"17B",17715.4063258956,26951.1656327658,35019.3021993264,44229.2446373876,53698.3852121588,62956.2997347751
"17C",90868.8373091981,137645.237534836,179279.958063501,226988.330224938,276274.966754959,324721.220231016
