"","WRU","2050"
"1","1A",455228.434914769
"2","1Ba",2575513.48272659
"3","1Bb",677518.544096905
"4","1C",1028680.68678031
"5","1E2",718290.383795609
"6","1F",759459.376484305
"7","1G",429503.380262964
"8","1H",768797.089598082
"9","1K",463058.560090135
"10","1L",176015.812112907
"11","1M",169086.999418547
"12","1N",62385.8519438952
"13","1O",306746.317177662
"14","1P",210913.358540212
"15","1R",962221.447627627
"16","1S",544593.020618979
"17","1T",392782.300695215
"18","2A",601850.556163438
"19","2B",2219387.19561749
"20","2C",612926.78346835
"21","2D",310286.540038832
"22","3A",515426.592208106
"23","3B",81305.9801366533
"24","3C",160809.357888359
"25","3D",442719.021112927
"26","3E",511461.432032775
"27","3F",300492.11159718
"28","4A",261261.489076073
"29","4B",2051572.92287416
"30","4C",1491036.20093748
"31","4D",2481063.08884619
"32","4E",1554659.64765235
"33","4F",401809.126706727
"34","5C",286885.605293793
"35","5D",1426995.81949512
"36","5E",2100550.9233782
"37","5F",617571.279711074
"38","6A",84397.4360236238
"39","6B",95913.4571271309
"40","6C",609272.95396845
"41","6D",773430.227537509
"42","7A",735642.345779606
"43","7B",256722.859067753
"44","7C",156763.945715627
"45","7D",509948.697310268
"46","7E",229450.00020118
"47","7F",216354.394176382
"48","7G",155682.031346505
"49","7H",46538.6430991815
"50","8A",133082.365795248
"51","9A",277343.875887851
"52","9B",407406.28428529
"53","10A",485015.608902623
"54","11A",1171459.53567035
"55","14A",1351843.73170069
"56","14B",1656441.29998576
"57","14C",1016717.83136375
"58","14D",141817.786249036
"59","15A",818932.172597801
"60","15B",742215.936660903
"61","15C",71162.8931585611
"62","16E",256311.420585115
"63","16F",290110.912818399
"64","16G",219863.382854511
"65","17A",185956.118967202
"66","17B",48526.5704519614
"67","17C",232215.963622146
